	13.00	0.00000000	1.53676536	
	13.50	0.00000000	1.44844804	
	14.00	0.00000000	1.29001870	
	14.50	0.00000000	1.19469297	
	15.00	0.00000000	1.13281344	
	15.50	0.00000000	1.24275738	
	16.00	0.00000000	1.19493999	
Detector ID	Y Axis Position(cm)	Room 	Room U1
	-16.00	0.00000000	0.94448774	
	-15.50	0.00000000	1.03188802	
	-15.00	0.00000000	1.30457694	
	-14.50	0.00000000	1.34068265	
	-14.00	0.00000000	1.27866694	
	-13.50	0.00000000	1.37607221	
	-13.00	0.00000000	1.55189422	
	-12.50	0.00000000	1.57949985	
	-12.00	0.00000000	1.58025831	
	-11.50	0.00000000	1.77685331	
	-11.00	0.00000000	1.99399770	
	-10.50	0.00000000	2.02951385	
	-10.00	0.00000000	2.17620643	
	-9.50	0.00000000	2.36781562	
	-9.00	0.00000000	2.66514591	
	-8.50	0.00000000	2.82530087	
	-8.00	0.00000000	3.05426189	
	-7.50	0.00000000	3.45587535	
	-7.00	0.00000000	4.00684598	
	-6.50	0.00000000	4.66594084	
	-6.00	0.00000000	5.77422176	
	-5.50	0.00000000	9.08695083	
	-5.00	0.00000000	32.07241892	
	-4.50	0.00000000	81.29956903	
	-4.00	0.00000000	91.10793019	
	-3.50	0.00000000	93.90864229	
	-3.00	0.00000000	95.30087210	
	-2.50	0.00000000	95.66804582	
	-2.00	0.00000000	97.60408022	
	-1.50	0.00000000	97.91367220	
	-1.00	0.00000000	98.81372333	
	-0.50	0.00000000	99.99105002	
	0.00	0.00000000	100.00000000	
	0.50	0.00000000	99.82714063	
	1.00	0.00000000	98.91775314	
	1.50	0.00000000	98.11182339	
	2.00	0.00000000	97.84411656	
	2.50	0.00000000	97.22512173	
	3.00	0.00000000	95.06486783	
	3.50	0.00000000	94.11420322	
	4.00	0.00000000	92.01652779	
	4.50	0.00000000	87.18851580	
	5.00	0.00000000	54.13503322	
	5.50	0.00000000	12.98918051	
	6.00	0.00000000	6.58434228	
