	2.00	97.86859315	
	2.50	96.25894952	
	3.00	95.41578715	
	3.50	94.14714173	
	4.00	91.75376541	
	4.50	89.77378629	
	5.00	88.21522048	
	5.50	86.5107558	
	6.00	84.12810996	
	6.50	82.50204421	
	7.00	81.03979052	
	7.50	79.54941313	
	8.00	76.82759001	
	8.50	74.24799184	
	9.00	70.59325165	
	9.50	46.64783031	
	10.00	8.952586814	
	10.50	4.708871633	
	11.00	3.385044961	
	11.50	2.638258703	
	12.00	2.268163084	
	12.50	1.924341977	
	13.00	1.657712118	
	13.50	1.342718808	
	14.00	1.283299211	
	14.50	1.001485605	
	15.00	0.8969136798	
	15.50	0.7892851596	
	16.00	0.687218501	
Detector ID	Positive Diagonal Position(cm)	Set 1
	-22.63	5.1917459202	
	-21.92	5.2551743007	
	-21.21	5.233729943	
	-20.51	0.4685416145	
	-19.80	0.552422616	
	-19.09	0.6872178619	
	-18.38	0.8724204018	
	-17.68	1.127003953	
	-16.97	1.35472445	
	-16.26	1.924716441	
	-15.56	3.683214968	
	-14.85	30.92344726	
	-14.14	55.39617057	
	-13.43	59.80943926	
	-12.73	62.42486623	
	-12.02	64.8086962	
	-11.31	67.32118301	
	-10.61	69.61435014	
	-9.90	71.8955607	
	-9.19	74.18037663	
	-8.49	76.96723172	
	-7.78	79.35063394	
	-7.07	81.5804021	
	-6.36	84.13208483	
	-5.66	86.85783841	
	-4.95	89.45251082	
	-4.24	91.72229402	
	-3.54	94.11683851	
	-2.83	96.25423032	
	-2.12	97.96335712	
	-1.41	99.1924243	
	0.00	100	
	1.41	99.74820621	
	2.12	97.60262342	
	2.83	95.39575011	
	3.54	93.03829774	
	4.24	91.3995708	
	4.95	88.58952653	
	5.66	85.63710883	
	6.36	82.97747514	
	7.07	81.02545327	
	7.78	78.22543661	
	8.49	75.57745399	
	9.19	73.1049578	
	9.90	70.99073826	
	10.61	68.37031007	
	11.31	65.43459683	
	12.02	62.55425221	
	12.73	57.15800691	
	13.43	25.86007277	
	14.14	3.382563845	
	14.85	1.96301889	
	15.56	1.354835941	
	16.26	1.065071605	
	16.97	0.933585919	
	17.68	0.7708081367	
	18.38	0.6401979451	
	19.09	0.5004649744	
	19.80	0.3654565609	
	20.51	0.395993949	
	21.21	0.1685285247	
	21.92	0.2438958443	
	22.63	0.09906074965	
Detector ID	Negative Diagonal Position(cm)	Set 1
	-22.63	0.2447433998	
	-21.92	0.2504168554	
	-21.21	0.36927684	
	-20.51	0.4479325233	
	-19.80	0.4292250266	
	-19.09	0.5993124292	
	-18.38	0.7174320688	
	-17.68	0.8379223208	
	-16.97	1.047515441	
	-16.26	1.412034595	
	-15.56	1.858678267	
	-14.85	2.930835591	
	-14.14	10.19627586	
	-13.43	45.87553532	
	-12.73	60.95182483	
	-12.02	64.72412466	
	-11.31	67.37267471	
	-10.61	69.34261048	
	-9.90	72.01443816	
	-9.19	74.43739625	
	-8.49	76.60973442	
	-7.78	78.88317875	
	-7.07	81.55636589	
	-6.36	84.37515366	
	-5.66	86.73540236	
	-4.95	88.67844941	
	-4.24	91.27001499	
