Filename		C:\physics\u1\20170331\10x10 31-Mar-2017-A.prm	
Penumbra Bottom	cm	0.956616	
Penumbra Top	cm	0.894014	
Flatness Result	perc	7.46291	
Symmetry Result	perc	-0.421528	
Electron Energy	Ep0		
Electron Energy	D80		
Negative Diagonal Analysis
Field Size	cm	13.5133	
Beam Center	cm	-0.0368158	
Light/Rad Coinc. Bottom	cm	-3.21207	
Light/Rad Coinc. Top	cm	-3.2857	
Penumbra Bottom	cm	0.975595	
Penumbra Top	cm	0.944691	
Flatness Result	perc	7.10576	
Symmetry Result	perc	0.136142	
Electron Energy	Ep0		
Electron Energy	D80		
Measured Data:	Total Dose-Dose (cGy)
Pulses:		1751
TimerTics	(1 uSec)	6375848

Detector ID	X Axis Position(cm)	Set 1
	-16.00	0.74287356	
	-15.50	0.79291971	
	-15.00	0.81195199	
	-14.50	0.86718679	
	-14.00	0.93406393	
	-13.50	0.99392931	
	-13.00	0.96467722	
	-12.50	1.04384953	
	-12.00	1.11158910	
	-11.50	1.19462916	
	-11.00	1.18462429	
	-10.50	1.25579746	
	-10.00	1.42951839	
	-9.50	1.48484126	
	-9.00	1.56334192	
	-8.50	1.71806796	
	-8.00	1.88015935	
	-7.50	2.04785360	
	-7.00	2.36553079	
	-6.50	2.80486675	
	-6.00	3.56464784	
	-5.50	5.68028996	
	-5.00	21.18638774	
	-4.50	49.19365248	
	-4.00	55.48861938	
	-3.50	57.23312028	
	-3.00	58.50766588	
	-2.50	59.32546585	
	-2.00	59.52252375	
	-1.50	60.47729089	
	-1.00	61.04984787	
	0.00	62.70653023	
	1.00	61.08586116	
	1.50	60.72917418	
	2.00	59.30719742	
	2.50	58.97192642	
	3.00	58.07482842	
	3.50	57.12148521	
	4.00	55.97440487	
	4.50	53.51633110	
	5.00	29.87764400	
	5.50	9.60004398	
	6.00	4.47547866	
	6.50	3.02878169	
	7.00	2.42805442	
	7.50	2.08096172	
	8.00	1.91774313	
	8.50	1.68135379	
	9.00	1.53647080	
	9.50	1.45341126	
	10.00	1.38433392	
	10.50	1.26831799	
	11.00	1.14857410	
	11.50	1.09772146	
	12.00	1.10197978	
	12.50	1.00820624	
	13.00	0.96365223	
	13.50	0.90827151	
	14.00	0.80892597	
	14.50	0.74915051	
	15.00	0.71034800	
	15.50	0.77929003	
	16.00	0.74930541	
Detector ID	Y Axis Position(cm)	Set 1
	-16.00	0.59225549	
	-15.50	0.64706117	
	-15.00	0.81805493	
	-14.50	0.84069557	
	-14.00	0.80180767	
	-13.50	0.86288714	
	-13.00	0.97313902	
	-12.50	0.99044955	
	-12.00	0.99092516	
	-11.50	1.11420306	
	-11.00	1.25036677	
	-10.50	1.27263772	
	-10.00	1.36462355	
	-9.50	1.48477502	
	-9.00	1.67122052	
	-8.50	1.77164814	
	-8.00	1.91522166	
	-7.50	2.16705952	
	-7.00	2.51255409	
	-6.50	2.92584960	
	-6.00	3.62081411	
	-5.50	5.69811157	
	-5.00	20.11150106	
	-4.50	50.98013883	
	-4.00	57.13062178	
	-3.50	58.88685116	
	-3.00	59.75987017	
	-2.50	59.99011207	
	-2.00	61.20413207	
	-1.50	61.39826646	
	-1.00	61.96265729	
	-0.50	62.70091801	
	0.00	62.70653023	
	0.50	62.59813611	
	1.00	62.02789077	
	1.50	61.52252019	
	2.00	61.35465053	
	2.50	60.96650035	
	3.00	59.61188008	
	3.50	59.01575129	
	4.00	57.70037181	
	4.50	54.67289302	
	5.00	33.94620097	
	5.50	8.14506440	
	6.00	4.12881258	
	6.50	3.13898208	
	7.00	2.56447693	
	7.50	2.17884102	
	8.00	1.98486865	
	8.50	1.83279183	
	9.00	1.63297740	
	9.50	1.46172612	
	10.00	1.41326892	
	10.50	1.36139187	
	11.00	1.22656490	
	11.50	1.12517714	
	12.00	1.09924479	
	12.50	1.01201514	
	13.00	0.98359186	
	13.50	0.88343889	
	14.00	0.92531723	
	14.50	0.78654835	
	15.00	0.75120386	
	15.50	0.72230781	
	16.00	0.65901069	
Detector ID	Positive Diagonal Position(cm)	Set 1
	-22.63	0.37532063	
	-21.92	0.39982705	
	-21.21	0.39998928	
	-20.51	0.52507033	
	-19.80	0.54718786	
	-19.09	0.56037908	
	-18.38	0.60645790	
	-17.68	0.67425396	
	-16.97	0.68379476	
	-16.26	0.74066231	
	-15.56	0.79562974	
	-14.85	0.82105251	
	-14.14	0.87772273	
	-13.43	0.93458608	
	-12.73	1.05771625	
	-12.02	1.13810811	
	-11.31	1.23260673	
	-10.61	1.34226701	
	-9.90	1.49147289	
	-9.19	1.69850373	
	-8.49	1.93246984	
	-7.78	2.63489321	
	-7.07	12.62136459	
	-6.36	45.50126233	
	-5.66	53.32810360	
	-4.95	55.84292564	
	-4.24	57.22804627	
	-3.54	58.33988899	
	-2.83	59.62081993	
	-2.12	60.42580058	
	-1.41	61.02827826	
	0.00	62.70653023	
	1.41	61.64389406	
	2.12	60.64072177	
	2.83	59.63429298	
	3.54	58.77947956	
	4.24	57.64085981	
	4.95	55.99239047	
	5.66	54.00134592	
	6.36	50.35882589	
	7.07	22.13480963	
	7.78	3.82343312	
	8.49	2.12950726	
	9.19	1.70249420	
	9.90	1.44576996	
	10.61	1.29410845	
	11.31	1.20699433	
	12.02	1.07896774	
	12.73	0.97043184	
	13.43	0.91411141	
	14.14	0.88372280	
	14.85	0.83557976	
	15.56	0.72502787	
	16.26	0.68854727	
	16.97	0.72789170	
	17.68	0.67029675	
	18.38	0.60932001	
	19.09	0.55244507	
	19.80	0.47713347	
	20.51	0.52809985	
	21.21	0.39765154	
	21.92	0.41333635	
	22.63	0.31916081	
Detector ID	Negative Diagonal Position(cm)	Set 1
	-22.63	0.42917034	
	-21.92	0.43241141	
	-21.21	0.51222403	
	-20.51	0.55264440	
	-19.80	0.49684751	
	-19.09	0.55981652	
	-18.38	0.58127829	
	-17.68	0.61752522	
	-16.97	0.64822300	
	-16.26	0.73566312	
	-15.56	0.74445272	
	-14.85	0.81087050	
	-14.14	0.85095083	
	-13.43	0.95420221	
	-12.73	1.00616824	
	-12.02	1.10827559	
	-11.31	1.18022226	
	-10.61	1.38014395	
	-9.90	1.45815301	
	-9.19	1.68326381	
	-8.49	2.02953501	
	-7.78	2.89763412	
	-7.07	18.47432173	
	-6.36	48.23059291	
	-5.66	54.06094317	
	-4.95	56.11342713	
	-4.24	57.74427164	
	-3.54	59.07160068	
	-2.83	59.81173360	
	-2.12	60.52358089	
	-1.41	61.05490307	
	0.00	62.70653023	
	1.41	61.30459539	
	2.12	60.87722730	
	2.83	59.82109700	
	3.54	58.79603308	
	4.24	57.00539117	
	4.95	55.84854852	
	5.66	53.45645469	
	6.36	47.32587249	
	7.07	14.67596442	
	7.78	3.06542320	
	8.49	1.95759248	
	9.19	1.63323028	
	9.90	1.41669422	
	10.61	1.27610240	
	11.31	1.21278621	
	12.02	1.10782453	
	12.73	0.97818266	
	13.43	0.93301074	
	14.14	0.86921336	
	14.85	0.81777707	
	15.56	0.73549003	
	16.26	0.71528632	
	16.97	0.64838690	
	17.68	0.64344878	
	18.38	0.59241056	
	19.09	0.49186279	
	19.80	0.43592345	
	20.51	0.44061862	
	21.21	0.42467169	
	21.92	0.39016785	
	22.63	0.34351741	
Frames: C:\physics\u1\20170331\10x10 31-Mar-2017-A.prm
Time	Pulses	Status	-16	-15.5	-15	-14.5	-14	-13.5	-13	-12.5	-12	-11.5	-11	-10.5	-10	-9.5	-9	-8.5	-8	-7.5	-7	-6.5	-6	-5.5	-5	-4.5	-4	-3.5	-3	-2.5	-2	-1.5	-1	0	1	1.5	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	-16	-15.5	-15	-14.5	-14	-13.5	-13	-12.5	-12	-11.5	-11	-10.5	-10	-9.5	-9	-8.5	-8	-7.5	-7	-6.5	-6	-5.5	-5	-4.5	-4	-3.5	-3	-2.5	-2	-1.5	-1	-0.5	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	-22.627	-21.92	-21.213	-20.506	-19.799	-19.092	-18.385	-17.678	-16.97	-16.263	-15.556	-14.849	-14.142	-13.435	-12.728	-12.021	-11.314	-10.607	-9.8994	-9.1923	-8.4852	-7.7781	-7.071	-6.3639	-5.6568	-4.9497	-4.2426	-3.5355	-2.8284	-2.1213	-1.4142	0	1.4142	2.1213	2.8284	3.5355	4.2426	4.9497	5.6568	6.3639	7.071	7.7781	8.4852	9.1923	9.8994	10.607	11.314	12.021	12.728	13.435	14.142	14.849	15.556	16.263	16.97	17.678	18.385	19.092	19.799	20.506	21.213	21.92	22.627	-22.627	-21.92	-21.213	-20.506	-19.799	-19.092	-18.385	-17.678	-16.97	-16.263	-15.556	-14.849	-14.142	-13.435	-12.728	-12.021	-11.314	-10.607	-9.8994	-9.1923	-8.4852	-7.7781	-7.071	-6.3639	-5.6568	-4.9497	-4.2426	-3.5355	-2.8284	-2.1213	-1.4142	0	1.4142	2.1213	2.8284	3.5355	4.2426	4.9497	5.6568	6.3639	7.071	7.7781	8.4852	9.1923	9.8994	10.607	11.314	12.021	12.728	13.435	14.142	14.849	15.556	16.263	16.97	17.678	18.385	19.092	19.799	20.506	21.213	21.92	22.627	
127572	33	65	0.01306744	0.01399047	0.01499921	0.01615527	0.01692457	0.01762714	0.01799691	0.01861792	0.02122605	0.02112198	0.02068605	0.02345845	0.02559915	0.02548557	0.02793259	0.03132422	0.03407385	0.03696851	0.04192641	0.04987358	0.06250271	0.09975984	0.37172201	0.85734682	0.96299848	0.99125995	1.01456946	1.02532859	1.02999284	1.04571959	1.05532886	1.08356522	1.05535391	1.04976544	1.02516388	1.01974949	1.00449910	0.98877202	0.96996223	0.92651063	0.51121019	0.16274945	0.07831400	0.05244789	0.04173862	0.03774579	0.03427797	0.02996057	0.02749544	0.02696743	0.02340129	0.02285995	0.02083145	0.01944319	0.01967359	0.01809066	0.01773091	0.01699117	0.01465637	0.01341493	0.01225425	0.01323512	0.01352160	0.01075526	0.01165891	0.01555200	0.01497928	0.01450734	0.01475729	0.01815264	0.01838405	0.01814199	0.02101243	0.02243588	0.02312097	0.02555611	0.02692455	0.02988576	0.03071452	0.03438398	0.03824765	0.04459162	0.05218291	0.06383692	0.09997742	0.35060905	0.88668301	0.99048880	1.01880728	1.03514653	1.03826398	1.05950563	1.06319497	1.07020567	1.08343871	1.08356522	1.08290633	1.07300502	1.06640953	1.06292937	1.05523163	1.03290281	1.02106633	0.99924205	0.94857919	0.58410440	0.13994973	0.07132769	0.05443271	0.04541504	0.03889936	0.03413357	0.03215684	0.02872024	0.02490566	0.02522099	0.02378917	0.02216463	0.02074430	0.02067575	0.01855728	0.01720811	0.01665949	0.01632476	0.01415789	0.01466761	0.01250378	0.01269603	0.00695983	0.00733602	0.00757640	0.00981104	0.00891870	0.00991263	0.01221283	0.01154902	0.01236290	0.01271780	0.01547237	0.01493105	0.01516593	0.01631342	0.01909500	0.02142542	0.02228355	0.02399356	0.02769447	0.02999367	0.03539125	0.04650110	0.22249229	0.79508408	0.92649023	0.96959561	0.99117555	1.00942305	1.03199137	1.04488977	1.05467123	1.08356522	1.06561122	1.04858588	1.03369437	1.01742006	0.99887067	0.97093496	0.93761695	0.87287809	0.37931725	0.06485794	0.03745729	0.03021576	0.02556336	0.02337164	0.02133122	0.01937125	0.01775914	0.01678594	0.01635141	0.01532442	0.01382401	0.01183197	0.01330250	0.01136850	0.01074719	0.01035256	0.00805663	0.00922396	0.00778958	0.00694894	0.00568366	0.00776264	0.00829192	0.01014469	0.00959382	0.00880164	0.00928510	0.01076442	0.01188441	0.01247520	0.01249376	0.01389299	0.01466969	0.01476905	0.01697099	0.01714665	0.02103643	0.02189882	0.02432816	0.02608274	0.03069447	0.03628632	0.05069427	0.32312445	0.84032758	0.94050000	0.97301519	0.99803815	1.02259373	1.03508782	1.04874467	1.05842872	1.08356522	1.06106705	1.05258325	1.03634073	1.01751303	0.98631261	0.96648867	0.92650573	0.82365940	0.25311817	0.05323328	0.03455649	0.02850245	0.02556173	0.02261895	0.02224718	0.01960647	0.01683487	0.01660478	0.01535684	0.01469659	0.01349646	0.01258541	0.01164250	0.01137195	0.01061735	0.00868587	0.00711599	0.00898214	0.00802450	0.00667177	0.00666850	
251227	67	67	0.02660341	0.02857493	0.02898839	0.03280679	0.03430527	0.03643283	0.03648436	0.03842845	0.04204087	0.04332352	0.04177713	0.04704835	0.05181429	0.05240255	0.05545475	0.06264791	0.06911214	0.07449062	0.08478675	0.10126476	0.12830780	0.20402436	0.75945703	1.74986684	1.96596566	2.02590107	2.07015326	2.09564895	2.10242649	2.13545137	2.15486582	2.21474143	2.15319900	2.14536232	2.09570104	2.08303702	2.05071392	2.01928830	1.97943455	1.89272976	1.04379605	0.33396631	0.15919699	0.10769408	0.08664711	0.07680822	0.06949822	0.05997924	0.05625840	0.05387719	0.04921667	0.04571844	0.04190142	0.04117444	0.04100449	0.03720209	0.03480471	0.03425296	0.02972281	0.02752391	0.02538685	0.02670084	0.02772733	0.02188441	0.02308119	0.03135083	0.03065190	0.02962781	0.03098202	0.03538743	0.03672336	0.03638487	0.04157107	0.04511609	0.04694238	0.05009052	0.05466451	0.06065536	0.06384467	0.06924623	0.07814784	0.09030613	0.10636527	0.12911617	0.20270737	0.71429379	1.81114161	2.02082844	2.08226696	2.11271806	2.11951847	2.16254223	2.17039415	2.18615670	2.21357995	2.21474143	2.20972408	2.19233937	2.17700368	2.16952067	2.15414637	2.10780206	2.08733836	2.04151116	1.93593098	1.19506926	0.28499220	0.14522461	0.11151421	0.09219438	0.07746477	0.07044259	0.06486541	0.05805427	0.05177266	0.05047854	0.04932092	0.04404699	0.04134165	0.04060996	0.03677665	0.03472831	0.03280892	0.03294925	0.02797856	0.02851914	0.02563396	0.02536396	0.01385940	0.01575004	0.01476457	0.01960871	0.01872711	0.02060510	0.02366501	0.02242377	0.02381365	0.02601908	0.03010700	0.03000200	0.03069281	0.03331399	0.03863736	0.04151944	0.04479712	0.04867938	0.05502394	0.06058712	0.07141002	0.09395716	0.45228591	1.62317630	1.89080712	1.97861383	2.02542173	2.06178125	2.10676140	2.13306443	2.15446872	2.21474143	2.17627259	2.14226558	2.10930938	2.07786314	2.03975774	1.98112826	1.91200039	1.78447248	0.77546359	0.13286260	0.07642872	0.06108442	0.05259232	0.04724544	0.04345084	0.03856970	0.03567359	0.03331678	0.03200861	0.03144753	0.02812459	0.02385584	0.02666105	0.02380647	0.02150136	0.02018308	0.01620687	0.01880240	0.01468608	0.01388218	0.01116858	0.01614369	0.01625233	0.02049714	0.02024509	0.01753564	0.01892517	0.02081093	0.02306092	0.02443543	0.02592936	0.02885978	0.02955933	0.03080633	0.03428692	0.03531183	0.04153927	0.04346433	0.04980029	0.05262771	0.06126426	0.07253066	0.10347611	0.65877830	1.71500371	1.91779180	1.98626716	2.04089424	2.08853512	2.11441945	2.13962374	2.15981479	2.21474143	2.16740541	2.15052644	2.11651966	2.07762127	2.01502470	1.97656482	1.89336387	1.68190314	0.51748941	0.10940196	0.07140324	0.05891192	0.05074421	0.04661674	0.04443418	0.03974122	0.03540669	0.03328306	0.03120426	0.02982075	0.02664640	0.02596773	0.02403950	0.02245457	0.02129470	0.01841817	0.01522203	0.01768407	0.01671270	0.01397882	0.01337392	
378521	102	67	0.04164604	0.04417699	0.04479092	0.05058865	0.05325812	0.05650273	0.05553975	0.05981107	0.06340624	0.06707859	0.06617846	0.07232326	0.08044315	0.08240655	0.08677256	0.09778951	0.10725486	0.11502118	0.13313925	0.15694892	0.19955416	0.31687543	1.17766595	2.72196103	3.06341494	3.15749030	3.22787173	3.26800203	3.27921280	3.33171887	3.36135309	3.45278838	3.35953048	3.34346485	3.26783924	3.24838416	3.19787880	3.14855741	3.08453577	2.95055904	1.63451467	0.52288548	0.24830945	0.16737773	0.13501858	0.11892946	0.10772000	0.09306364	0.08625723	0.08292101	0.07672022	0.07060697	0.06442381	0.06371142	0.06428532	0.05603942	0.05329739	0.05218938	0.04601240	0.04210999	0.03887849	0.04231901	0.04193678	0.03428857	0.03588164	0.04695965	0.04664110	0.04522324	0.04720504	0.05422159	0.05577635	0.05666912	0.06397272	0.06990013	0.07227205	0.07715211	0.08441295	0.09354937	0.09868351	0.10808220	0.12071868	0.14002167	0.16471126	0.20073948	0.31554210	1.11278661	2.82111870	3.14938724	3.24559649	3.29280201	3.30441822	3.37018219	3.38412426	3.40871464	3.45331199	3.45278838	3.44559428	3.41796394	3.39170060	3.38136443	3.35798725	3.28604013	3.25093337	3.18178311	3.01719866	1.86358364	0.44546950	0.22733665	0.17377906	0.14327611	0.12094832	0.10969753	0.10074226	0.09036633	0.08117762	0.07812594	0.07750176	0.06812628	0.06392089	0.06340349	0.05695126	0.05436640	0.05094445	0.05231011	0.04411498	0.04404655	0.03951893	0.03912499	0.02191202	0.02366439	0.02357885	0.03072586	0.03043282	0.03214423	0.03625428	0.03643008	0.03804139	0.04083353	0.04581192	0.04689847	0.04832164	0.05192563	0.05964519	0.06317681	0.06945177	0.07601732	0.08520184	0.09443708	0.11031303	0.14669245	0.70407711	2.52504921	2.94515762	3.08284736	3.15653927	3.21207047	3.28318220	3.32749293	3.36025028	3.45278838	3.39245012	3.34054818	3.28610641	3.23938754	3.17886530	3.08599291	2.97877005	2.77857824	1.21066120	0.20822021	0.11805471	0.09502448	0.08203253	0.07289463	0.06725035	0.05980194	0.05467503	0.05139767	0.04926710	0.04848736	0.04111555	0.03719780	0.04172644	0.03601519	0.03351199	0.03058901	0.02574473	0.02917935	0.02290284	0.02212465	0.01713996	0.02440931	0.02624548	0.03127551	0.03161507	0.02787270	0.03007113	0.03278797	0.03513575	0.03781650	0.04029871	0.04348561	0.04587343	0.04749779	0.05301650	0.05589934	0.06398216	0.06662800	0.07786175	0.08240013	0.09637334	0.11372588	0.15988497	1.02471680	2.66940374	2.98680761	3.09390401	3.18086722	3.25499750	3.29580532	3.33575193	3.36645665	3.45278838	3.38040457	3.35169263	3.29891197	3.23855796	3.14285018	3.07856691	2.94997820	2.61744961	0.80771875	0.16962698	0.11028511	0.09162850	0.07813141	0.07179787	0.06795384	0.06168582	0.05418521	0.05231846	0.04795867	0.04554692	0.04194831	0.03978365	0.03669221	0.03549718	0.03318251	0.02874805	0.02401646	0.02649121	0.02497065	0.02175942	0.02033476	
502177	136	65	0.05589738	0.06015075	0.06032982	0.06845524	0.07238506	0.07553395	0.07402717	0.08055608	0.08564731	0.09077489	0.09048098	0.09749146	0.10910404	0.11119977	0.11808939	0.13269450	0.14494024	0.15509565	0.18023255	0.21202529	0.27033909	0.42821006	1.59381026	3.68889902	4.15471141	4.28305635	4.38201823	4.43570619	4.45126722	4.52402604	4.56239098	4.68870735	4.56394042	4.54017381	4.43399031	4.41138377	4.33903169	4.27252687	4.18636967	4.00361850	2.22405587	0.71254946	0.33697806	0.22720333	0.18294678	0.16019853	0.14524025	0.12606526	0.11570123	0.11203670	0.10412138	0.09539995	0.08695275	0.08535683	0.08721242	0.07563121	0.07339051	0.07034519	0.06175655	0.05673663	0.05302241	0.05834026	0.05659661	0.04564524	0.04817353	0.06367435	0.06385823	0.06085916	0.06438469	0.07395961	0.07510376	0.07620001	0.08637002	0.09473077	0.09773086	0.10406928	0.11273345	0.12620992	0.13450898	0.14585884	0.16389997	0.18871128	0.22203921	0.27123244	0.42672810	1.50864802	3.82639996	4.27372447	4.40332379	4.46876743	4.48489187	4.57535811	4.59223200	4.62781648	4.68781777	4.68870735	4.67780966	4.63855909	4.60195999	4.58910261	4.55711054	4.45984626	4.41305381	4.31817454	4.09300341	2.52957895	0.60485212	0.30892354	0.23570309	0.19338592	0.16334157	0.14842314	0.13626916	0.12222154	0.10973984	0.10602082	0.10455585	0.09264031	0.08543116	0.08388775	0.07756067	0.07334817	0.06773553	0.06961240	0.06073022	0.05928647	0.05374704	0.05151710	0.02881157	0.03111324	0.03158690	0.04210266	0.04127415	0.04311507	0.04831422	0.04895715	0.05108155	0.05513628	0.06150443	0.06276361	0.06453181	0.06984420	0.08100818	0.08464452	0.09298680	0.10193874	0.11374762	0.12796598	0.14832258	0.19897290	0.95153985	3.41957311	3.99438638	4.18101084	4.28338339	4.36111172	4.45516374	4.51611921	4.56045144	4.68870735	4.60511175	4.53570200	4.45995556	4.39498535	4.31189953	4.18985605	4.04163115	3.77002494	1.64586938	0.28409376	0.15978486	0.12823348	0.10994708	0.09785965	0.09146622	0.08108559	0.07360343	0.06990488	0.06744128	0.06433348	0.05630316	0.05032652	0.05550077	0.04924017	0.04594126	0.04197146	0.03500089	0.03903234	0.03063537	0.03025096	0.02369336	0.03233797	0.03483081	0.04140348	0.04299193	0.03697767	0.04073166	0.04408843	0.04649714	0.05036227	0.05595278	0.05726998	0.06240153	0.06431083	0.07195081	0.07589356	0.08583930	0.09010490	0.10526302	0.11092470	0.12919260	0.15341990	0.21684341	1.38869058	3.61849671	4.05026244	4.19869519	4.31579684	4.41848307	4.47333206	4.52585220	4.56989573	4.68870735	4.58637834	4.54864226	4.47839648	4.39560029	4.26495344	4.17818407	4.00005341	3.54984810	1.09770499	0.23123946	0.14947533	0.12432525	0.10618051	0.09758977	0.09190574	0.08351320	0.07419983	0.07025435	0.06468793	0.06160650	0.05694494	0.05434605	0.04886071	0.04850920	0.04449294	0.03890192	0.03309910	0.03556228	0.03271546	0.03030337	0.02831378	
625832	170	65	0.06974634	0.07564695	0.07657315	0.08560180	0.09068484	0.09461031	0.09288085	0.10125662	0.10748726	0.11392765	0.11374319	0.12219547	0.13740920	0.14008236	0.14935998	0.16571703	0.18239745	0.19580825	0.22681419	0.26733201	0.33958481	0.54069247	2.01022430	4.65606105	5.24843983	5.40908538	5.53451891	5.60477470	5.62418834	5.71369376	5.76659805	5.92429116	5.76665108	5.73652440	5.60193761	5.57275620	5.48223756	5.39516889	5.28728523	5.05837637	2.81273345	0.90182556	0.42632964	0.28684938	0.23060459	0.20137756	0.18364515	0.15991283	0.14609873	0.14065719	0.13125826	0.11984123	0.10980086	0.10683060	0.10868014	0.09552871	0.09361687	0.08800930	0.07750073	0.07132015	0.06690253	0.07404770	0.07121105	0.05732056	0.06020456	0.07942739	0.08075740	0.07668257	0.08170080	0.09311655	0.09499585	0.09604184	0.10821575	0.11871995	0.12295578	0.13084633	0.14248310	0.15965456	0.16953061	0.18349673	0.20595634	0.23805173	0.27978354	0.34158824	0.53898866	1.90662696	4.83085232	5.39903270	5.56397983	5.64513910	5.66517612	5.77867783	5.80218404	5.84552562	5.92157750	5.92429116	5.90904761	5.86216158	5.81244138	5.79774193	5.75801456	5.63392627	5.57593162	5.45428684	5.16899421	3.19669189	0.76464062	0.38995789	0.29767371	0.24386076	0.20624835	0.18673053	0.17174912	0.15398832	0.13866865	0.13321243	0.13119479	0.11733586	0.10739795	0.10565553	0.09702103	0.09251268	0.08388496	0.08831557	0.07633759	0.07345152	0.06879865	0.06404713	0.03589238	0.03847437	0.03900282	0.05166810	0.05247477	0.05403952	0.05990665	0.06167306	0.06434878	0.06957561	0.07747292	0.07797471	0.08115198	0.08835950	0.10157187	0.10647857	0.11666113	0.12822627	0.14294838	0.16071516	0.18614255	0.24998872	1.19918713	4.31360328	5.04361515	5.27903366	5.40859983	5.50751831	5.62733099	5.70560886	5.76195600	5.92429116	5.81855171	5.73008984	5.63460739	5.55040143	5.44479680	5.29164567	5.10245219	4.76128553	2.08147891	0.35932310	0.20178640	0.16180962	0.13846762	0.12256280	0.11563654	0.10343504	0.09266412	0.08804442	0.08521097	0.08096433	0.06999681	0.06504631	0.07084595	0.06200221	0.05832402	0.05358908	0.04439531	0.04938875	0.03901820	0.03915740	0.02936411	0.04099045	0.04265730	0.05031938	0.05414206	0.04654640	0.05111391	0.05515670	0.05873679	0.06232250	0.07012787	0.07255512	0.07783733	0.08148895	0.09173929	0.09602163	0.10665816	0.11367505	0.13205050	0.13935721	0.16178235	0.19361324	0.27343061	1.75168300	4.56640291	5.11440771	5.30348640	5.45277156	5.58210902	5.64952164	5.71736491	5.77293235	5.92429116	5.79382325	5.74626910	5.65685580	5.55531731	5.38683102	5.27711035	5.05354030	4.48043455	1.38796375	0.29203538	0.18816011	0.15661032	0.13523068	0.12320228	0.11658173	0.10543209	0.09403410	0.08863940	0.08183492	0.07797791	0.07166459	0.06849997	0.06130340	0.06130198	0.05598427	0.04863421	0.04106563	0.04477181	0.04050523	0.03788529	0.03520789	
