	13.00	0.00000000	1.53160907	
	13.50	0.00000000	1.44053001	
	14.00	0.00000000	1.28281624	
	14.50	0.00000000	1.19185286	
	15.00	0.00000000	1.13101593	
	15.50	0.00000000	1.24033346	
	16.00	0.00000000	1.19104951	
Detector ID	Y Axis Position(cm)	Room 	Room U1
	-16.00	0.00000000	0.94111543	
	-15.50	0.00000000	1.02960705	
	-15.00	0.00000000	1.30213277	
	-14.50	0.00000000	1.33608623	
	-14.00	0.00000000	1.27557443	
	-13.50	0.00000000	1.37362703	
	-13.00	0.00000000	1.54942017	
	-12.50	0.00000000	1.57722470	
	-12.00	0.00000000	1.57741787	
	-11.50	0.00000000	1.76942446	
	-11.00	0.00000000	1.98897775	
	-10.50	0.00000000	2.02416215	
	-10.00	0.00000000	2.17152404	
	-9.50	0.00000000	2.36528131	
	-9.00	0.00000000	2.66162061	
	-8.50	0.00000000	2.82092097	
	-8.00	0.00000000	3.05082322	
	-7.50	0.00000000	3.45138651	
	-7.00	0.00000000	4.00579797	
	-6.50	0.00000000	4.65924336	
	-6.00	0.00000000	5.76963362	
	-5.50	0.00000000	9.08184630	
	-5.00	0.00000000	32.05674181	
	-4.50	0.00000000	81.29662428	
	-4.00	0.00000000	91.12088496	
	-3.50	0.00000000	93.90889361	
	-3.00	0.00000000	95.30509175	
	-2.50	0.00000000	95.67781529	
	-2.00	0.00000000	97.60389789	
	-1.50	0.00000000	97.93012557	
	-1.00	0.00000000	98.81907494	
	-0.50	0.00000000	100.00654154	
	0.00	0.00000000	100.00000000	
	0.50	0.00000000	99.84069385	
	1.00	0.00000000	98.92259625	
	1.50	0.00000000	98.11468651	
	2.00	0.00000000	97.85125244	
	2.50	0.00000000	97.22621488	
	3.00	0.00000000	95.07057635	
	3.50	0.00000000	94.12695040	
	4.00	0.00000000	92.02469826	
	4.50	0.00000000	87.19612914	
	5.00	0.00000000	54.16372212	
	5.50	0.00000000	12.99513805	
	6.00	0.00000000	6.58249571	
	6.50	0.00000000	5.00624836	
	7.00	0.00000000	4.08614518	
	7.50	0.00000000	3.47583393	
	8.00	0.00000000	3.16031620	
