Patient Name: Water, Phantom
Patient ID: WP 001
Plan: 16MV
Course: TA
Date: Tuesday, June 02, 2020 2:48:10 PM
Exported by: alanphys

Start: (0.00, -0.13, 0.00)
End:   (0.00, 41.94, 0.00)

	Field 1
33.486164	36.744551
33.511173	36.703534
33.536181	36.667124
33.561189	36.630713
33.586198	36.594302
33.611206	36.557891
33.636215	36.521481
33.661223	36.485070
33.686231	36.448659
33.711240	36.412248
33.736248	36.375838
33.761256	36.339600
33.786265	36.304596
33.811273	36.269592
33.836281	36.234588
33.861290	36.199584
33.886298	36.164580
33.911306	36.129575
33.936315	36.094571
33.961323	36.059567
33.986331	36.024563
34.011340	35.988999
34.036348	35.949568
34.061356	35.910138
34.086365	35.870708
34.111373	35.831277
34.136381	35.791847
34.161390	35.752416
34.186398	35.712986
34.211406	35.673555
34.236415	35.634125
34.261423	35.594564
34.286431	35.554127
34.311440	35.513690
34.336448	35.473253
34.361456	35.432815
34.386465	35.392378
34.411473	35.351941
34.436481	35.311504
34.461490	35.271067
34.486498	35.230630
34.511506	35.190864
34.536515	35.155459
34.561523	35.120055
34.586531	35.084651
34.611540	35.049247
34.636548	35.013843
34.661556	34.978439
34.686565	34.943034
34.711573	34.907630
34.736581	34.872226
34.761590	34.837068
34.786598	34.803471
34.811606	34.769873
34.836615	34.736276
34.861623	34.702678
34.886631	34.669081
34.911640	34.635483
34.936648	34.601886
34.961656	34.568288
34.986665	34.534691
35.011673	34.500643
35.036681	34.463826
35.061690	34.427009
35.086698	34.390191
35.111706	34.353374
35.136715	34.316557
35.161723	34.279740
35.186731	34.242922
35.211740	34.206105
35.236748	34.169288
35.261756	34.132500
35.286765	34.095889
35.311773	34.059279
35.336781	34.022668
35.361790	33.986057
35.386798	33.949446
35.411807	33.912835
35.436815	33.876225
35.461823	33.839614
35.486832	33.803003
35.511840	33.767099
35.536848	33.735315
35.561857	33.703531
35.586865	33.671746
35.611873	33.639962
35.636882	33.608178
35.661890	33.576393
35.686898	33.544609
35.711907	33.512824
35.736915	33.481040
35.761923	33.449375
35.786932	33.418391
35.811940	33.387407
35.836948	33.356423
35.861957	33.325438
35.886965	33.294454
35.911973	33.263470
35.936982	33.232485
35.961990	33.201501
35.986998	33.170517
36.012007	33.138887
36.037015	33.103689
36.062023	33.068492
36.087032	33.033294
36.112040	32.998096
36.137048	32.962898
36.162057	32.927701
36.187065	32.892503
36.212073	32.857305
36.237082	32.822108
36.262090	32.786720
36.287098	32.750309
36.312107	32.713899
36.337115	32.677488
36.362123	32.641077
36.387132	32.604666
36.412140	32.568256
36.437148	32.531845
36.462157	32.495434
36.487165	32.459023
36.512173	32.423286
36.537182	32.391089
36.562190	32.358891
36.587198	32.326694
36.612207	32.294497
36.637215	32.262299
36.662223	32.230102
36.687232	32.197905
36.712240	32.165707
36.737248	32.133510
36.762257	32.101446
36.787265	32.070068
36.812273	32.038691
36.837282	32.007313
36.862290	31.975935
36.887298	31.944557
36.912307	31.913179
36.937315	31.881801
36.962323	31.850423
36.987332	31.819045
37.012340	31.787130
37.037348	31.752526
37.062357	31.717922
37.087365	31.683318
37.112373	31.648714
37.137382	31.614110
37.162390	31.579506
37.187398	31.544902
37.212407	31.510297
37.237415	31.475693
37.262424	31.441056
37.287432	31.406259
37.312440	31.371461
37.337449	31.336663
37.362457	31.301866
37.387465	31.267068
37.412474	31.232270
37.437482	31.197473
37.462490	31.162675
37.487499	31.127878
37.512507	31.093844
37.537515	31.063460
37.562524	31.033076
37.587532	31.002692
37.612540	30.972307
37.637549	30.941923
37.662557	30.911539
37.687565	30.881155
37.712574	30.850770
37.737582	30.820386
37.762590	30.790252
37.787599	30.761288
37.812607	30.732323
37.837615	30.703358
37.862624	30.674394
37.887632	30.645429
37.912640	30.616464
37.937649	30.587500
37.962657	30.558535
37.987665	30.529570
38.012674	30.499953
38.037682	30.467362
38.062690	30.434771
38.087699	30.402180
38.112707	30.369589
38.137715	30.336998
38.162724	30.304408
38.187732	30.271817
38.212740	30.239226
38.237749	30.206635
38.262757	30.173970
38.287765	30.140979
38.312774	30.107988
38.337782	30.074997
38.362790	30.042006
38.387799	30.009016
38.412807	29.976025
38.437815	29.943034
38.462824	29.910043
38.487832	29.877052
38.512840	29.844735
38.537849	29.815357
38.562857	29.785979
38.587865	29.756602
38.612874	29.727224
38.637882	29.697846
38.662890	29.668469
38.687899	29.639091
38.712907	29.609713
38.737915	29.580336
38.762924	29.551189
38.787932	29.523031
38.812940	29.494873
38.837949	29.466715
38.862957	29.438557
38.887965	29.410399
38.912974	29.382240
38.937982	29.354082
38.962990	29.325924
38.987999	29.297766
39.013007	29.268985
39.038016	29.237600
39.063024	29.206216
39.088032	29.174831
39.113041	29.143447
39.138049	29.112063
39.163057	29.080678
39.188066	29.049294
39.213074	29.017910
39.238082	28.986525
39.263091	28.955062
39.288099	28.923278
39.313107	28.891494
39.338116	28.859709
39.363124	28.827925
39.388132	28.796140
39.413141	28.764356
39.438149	28.732572
39.463157	28.700787
39.488166	28.669003
39.513174	28.638063
39.538182	28.610505
39.563191	28.582947
39.588199	28.555389
39.613207	28.527831
39.638216	28.500273
39.663224	28.472715
39.688232	28.445156
39.713241	28.417598
39.738249	28.390040
39.763257	28.362807
39.788266	28.336849
39.813274	28.310892
39.838282	28.284934
39.863291	28.258976
39.888299	28.233018
39.913307	28.207060
39.938316	28.181102
39.963324	28.155144
39.988332	28.129186
40.013341	28.102649
40.038349	28.073884
40.063357	28.045119
40.088366	28.016355
40.113374	27.987590
40.138382	27.958825
40.163391	27.930061
40.188399	27.901296
40.213407	27.872531
40.238416	27.843766
40.263424	27.815002
40.288432	27.786237
40.313441	27.757472
40.338449	27.728708
40.363457	27.699943
40.388466	27.671178
40.413474	27.642414
40.438482	27.613649
40.463491	27.584884
40.488499	27.556120
40.513507	27.528083
40.538516	27.502731
40.563524	27.477380
40.588532	27.452029
40.613541	27.426677
40.638549	27.401326
40.663557	27.375974
40.688566	27.350623
40.713574	27.325272
40.738582	27.299920
40.763591	27.274569
40.788599	27.249217
40.813607	27.223866
40.838616	27.198515
40.863624	27.173163
40.888633	27.147812
40.913641	27.122461
40.938649	27.097109
40.963658	27.071758
40.988666	27.046406
41.013674	27.020171
41.038683	26.990800
41.063691	26.961429
41.088699	26.932058
41.113708	26.902686
41.138716	26.873315
41.163724	26.843944
41.188733	26.814573
41.213741	26.785202
41.238749	26.755830
41.263758	26.726281
41.288766	26.696109
41.313774	26.665938
41.338783	26.635767
41.363791	26.605595
41.388799	26.575424
41.413808	26.545253
41.438816	26.515081
41.463824	26.484910
41.488833	26.454739
41.513841	26.425386
41.538849	26.398828
41.563858	26.372270
41.588866	26.345712
41.613874	26.319154
41.638883	26.292596
41.663891	26.266038
41.688899	26.239480
41.713908	26.212922
41.738916	26.186364
41.763924	26.157866
41.788933	26.122869
41.813941	26.087871
41.838949	26.052873
41.863958	26.017876
41.888966	25.982878
41.913974	25.947880
41.938983	25.912883
41.963991	25.877885
41.988999	25.842887
42.014008	0.000000
42.039016	0.000000
42.064024	0.000000
