Patient Name: Water, Phantom
Patient ID: WP 001
Plan: 16MV
Course: TA
Date: Tuesday, June 02, 2020 2:48:10 PM
Exported by: alanphys

Start: (0.00, -0.13, 0.00)
End:   (0.00, 41.94, 0.00)

	Field 1
7.702568	110.681287
7.727576	110.568022
7.752585	110.454757
7.777593	110.343526
7.802601	110.232880
7.827610	110.122235
7.852618	110.011590
7.877626	109.900944
7.902635	109.790299
7.927643	109.679654
7.952651	109.569009
7.977660	109.458363
8.002668	109.347718
8.027676	109.235976
8.052685	109.123924
8.077693	109.011872
8.102701	108.899820
8.127710	108.787768
8.152718	108.675716
8.177727	108.563664
8.202735	108.451612
8.227743	108.339560
8.252752	108.227508
8.277760	108.113567
8.302768	107.999101
8.327777	107.884636
8.352785	107.770171
8.377793	107.655706
8.402802	107.541241
8.427810	107.426776
8.452818	107.312311
8.477827	107.197846
8.502835	107.083380
8.527843	106.969387
8.552852	106.855522
8.577860	106.741657
8.602868	106.627792
8.627877	106.513927
8.652885	106.400062
8.677893	106.286197
8.702902	106.172332
8.727910	106.058467
8.752918	105.944602
8.777927	105.832964
8.802935	105.721918
8.827943	105.610873
8.852952	105.499828
8.877960	105.388782
8.902968	105.277737
8.927977	105.166691
8.952985	105.055646
8.977993	104.944601
9.003002	104.833555
9.028010	104.725058
9.053018	104.617226
9.078027	104.509394
9.103035	104.401562
9.128043	104.293730
9.153052	104.185898
9.178060	104.078066
9.203068	103.970234
9.228077	103.862402
9.253085	103.754570
9.278093	103.647061
9.303102	103.539636
9.328110	103.432210
9.353118	103.324785
9.378127	103.217359
9.403135	103.109933
9.428143	103.002508
9.453152	102.895082
9.478160	102.787657
9.503168	102.680231
9.528177	102.572806
9.553185	102.465380
9.578193	102.357954
9.603202	102.250529
9.628210	102.143103
9.653218	102.035678
9.678227	101.928252
9.703235	101.820826
9.728243	101.713401
9.753252	101.605975
9.778260	101.498871
9.803268	101.391845
9.828277	101.284820
9.853285	101.177794
9.878293	101.070769
9.903302	100.963743
9.928310	100.856718
9.953318	100.749692
9.978327	100.642667
10.003335	100.535641
10.028344	100.428293
10.053352	100.320867
10.078360	100.213442
10.103369	100.106016
10.128377	99.998591
10.153385	99.891165
10.178394	99.783740
10.203402	99.676314
10.228410	99.568888
10.253419	99.461463
10.278427	99.354037
10.303435	99.246612
10.328444	99.139186
10.353452	99.031760
10.378460	98.924335
10.403469	98.816909
10.428477	98.709484
10.453485	98.602058
10.478494	98.494633
10.503502	98.387207
10.528510	98.281413
10.553519	98.175994
10.578527	98.070575
10.603535	97.965156
10.628544	97.859737
10.653552	97.754319
10.678560	97.648900
10.703569	97.543481
10.728577	97.438062
10.753585	97.332643
10.778594	97.229858
10.803602	97.127665
10.828610	97.025473
10.853619	96.923280
10.878627	96.821087
10.903635	96.718895
10.928644	96.616702
10.953652	96.514509
10.978660	96.412316
11.003669	96.310124
11.028677	96.209248
11.053685	96.108662
11.078694	96.008076
11.103702	95.907490
11.128710	95.806904
11.153719	95.706318
11.178727	95.605732
11.203735	95.505146
11.228744	95.404560
11.253752	95.303974
11.278760	95.202394
11.303769	95.100602
11.328777	94.998809
11.353785	94.897016
11.378794	94.795224
11.403802	94.693431
11.428810	94.591638
11.453819	94.489846
11.478827	94.388053
11.503835	94.286260
11.528844	94.183801
11.553852	94.081202
11.578860	93.978603
11.603869	93.876003
11.628877	93.773404
11.653885	93.670805
11.678894	93.568206
11.703902	93.465607
11.728910	93.363007
11.753919	93.260408
11.778927	93.158473
11.803936	93.056674
11.828944	92.954875
11.853952	92.853076
11.878961	92.751276
11.903969	92.649477
11.928977	92.547678
11.953986	92.445879
11.978994	92.344080
12.004002	92.242281
12.029011	92.142498
12.054019	92.043118
12.079027	91.943739
12.104036	91.844359
12.129044	91.744980
12.154052	91.645600
12.179061	91.546221
12.204069	91.446841
12.229077	91.347462
