Patient Name: Water, Phantom
Patient ID: WP001
Plan: QA1-6MV
Course: C1
Date: 06 October 2020 11:40:28 AM
Exported by: alanphys

Start: (-14.63, 4.78, -0.28)
End:   (14.77, 4.78, -0.28)

	20x20-6MV
7.704096	127.369493
7.729109	127.384134
7.754122	127.398300
7.779136	127.410062
7.804149	127.421824
7.829162	127.433586
7.854176	127.445348
7.879189	127.457110
7.904202	127.468872
7.929215	127.480633
7.954229	127.492395
7.979242	127.504157
8.004255	127.515750
8.029269	127.526519
8.054282	127.537287
8.079295	127.548056
8.104309	127.558825
8.129322	127.569593
8.154335	127.580362
8.179348	127.591131
8.204362	127.601899
8.229375	127.612668
8.254388	127.623530
8.279402	127.634832
8.304415	127.646134
8.329428	127.657435
8.354441	127.668737
8.379455	127.680039
8.404468	127.691340
8.429481	127.702642
8.454495	127.713944
8.479508	127.725246
8.504521	127.736696
8.529535	127.748821
8.554548	127.760946
8.579561	127.773071
8.604574	127.785195
8.629588	127.797320
8.654601	127.809445
8.679614	127.821570
8.704628	127.833695
8.729641	127.845820
8.754654	127.857775
8.779668	127.868986
8.804681	127.880198
8.829694	127.891410
8.854707	127.902621
8.879721	127.913833
8.904734	127.925045
8.929747	127.936257
8.954761	127.947468
8.979774	127.958680
9.004787	127.968560
9.029801	127.972812
9.054814	127.977064
9.079827	127.981316
9.104840	127.985568
9.129854	127.989821
9.154867	127.994073
9.179880	127.998325
9.204894	128.002577
9.229907	128.006829
9.254920	128.009696
9.279934	128.006907
9.304947	128.004117
9.329960	128.001327
9.354973	127.998537
9.379987	127.995747
9.405000	127.992958
9.430013	127.990168
9.455027	127.987378
9.480040	127.984588
9.505053	127.981266
9.530066	127.975840
9.555080	127.970414
9.580093	127.964988
9.605106	127.959561
9.630120	127.954135
9.655133	127.948709
9.680146	127.943283
9.705160	127.937857
9.730173	127.932431
9.755186	127.926480
9.780199	127.918526
9.805213	127.910572
9.830226	127.902618
9.855239	127.894663
9.880253	127.886709
9.905266	127.878755
9.930279	127.870801
9.955293	127.862847
9.980306	127.854892
10.005319	127.846635
10.030332	127.837257
10.055346	127.827878
10.080359	127.818499
10.105372	127.809121
10.130386	127.799742
10.155399	127.790363
10.180412	127.780985
10.205426	127.771606
10.230439	127.762227
10.255452	127.752394
10.280465	127.740928
10.305479	127.729462
10.330492	127.717996
10.355505	127.706530
10.380519	127.695064
10.405532	127.683598
10.430545	127.672132
10.455559	127.660667
10.480572	127.649201
10.505585	127.638047
10.530598	127.627977
10.555612	127.617908
10.580625	127.607839
10.605638	127.597770
10.630652	127.587700
10.655665	127.577631
10.680678	127.567562
10.705691	127.557493
10.730705	127.547423
10.755718	127.538358
10.780731	127.532679
10.805745	127.527000
10.830758	127.521321
10.855771	127.515642
10.880785	127.509963
10.905798	127.504284
10.930811	127.498605
10.955824	127.492927
10.980838	127.487248
11.005851	127.481866
11.030864	127.477458
11.055878	127.473051
11.080891	127.468643
11.105904	127.464235
11.130918	127.459827
11.155931	127.455419
11.180944	127.451012
11.205957	127.446604
11.230971	127.442196
11.255984	127.437644
11.280997	127.432633
11.306011	127.427622
11.331024	127.422611
11.356037	127.417600
11.381051	127.412589
11.406064	127.407578
11.431077	127.402567
11.456090	127.397556
11.481104	127.392545
11.506117	127.387326
11.531130	127.381466
11.556144	127.375606
11.581157	127.369745
11.606170	127.363885
11.631184	127.358025
11.656197	127.352165
11.681210	127.346305
11.706223	127.340445
11.731237	127.334584
11.756250	127.328456
11.781263	127.321524
11.806277	127.314591
11.831290	127.307658
11.856303	127.300726
11.881316	127.293793
11.906330	127.286861
11.931343	127.279928
11.956356	127.272995
11.981370	127.266063
12.006383	127.258995
12.031396	127.251533
12.056410	127.244071
12.081423	127.236609
12.106436	127.229147
12.131449	127.221685
12.156463	127.214223
12.181476	127.206761
12.206489	127.199299
12.231503	127.191837
12.256516	127.184230
12.281529	127.176215
12.306543	127.168200
12.331556	127.160184
12.356569	127.152169
12.381582	127.144154
12.406596	127.136138
12.431609	127.128123
12.456622	127.120107
12.481636	127.112092
12.506649	127.103841
12.531662	127.094940
12.556676	127.086038
12.581689	127.077137
12.606702	127.068236
12.631715	127.059334
12.656729	127.050433
12.681742	127.041531
12.706755	127.032630
12.731769	127.023728
12.756782	127.014727
12.781795	127.005457
12.806809	126.996186
12.831822	126.986916
12.856835	126.977646
12.881848	126.968375
12.906862	126.959105
12.931875	126.949835
12.956888	126.940565
12.981902	126.931294
13.006915	126.921999
13.031928	126.912637
13.056941	126.903276
13.081955	126.893914
13.106968	126.884552
13.131981	126.875191
13.156995	126.865829
13.182008	126.856468
13.207021	126.847106
13.232035	126.837745
13.257048	126.828053
13.282061	126.817518
13.307074	126.806984
13.332088	126.796449
13.357101	126.785915
13.382114	126.775381
13.407128	126.764846
13.432141	126.754312
13.457154	126.743778
13.482168	126.733243
13.507181	126.722683
13.532194	126.712060
13.557207	126.701437
13.582221	126.690813
13.607234	126.680190
13.632247	126.669566
13.657261	126.658943
13.682274	126.648320
13.707287	126.637696
13.732301	126.627073
13.757314	126.617004
13.782327	126.608275
