Patient Name: Water, Phantom
Patient ID: WP001
Plan: QA1-6MV
Course: C1
Date: 06 October 2020 11:41:15 AM
Exported by: alanphys

Start: (-0.42, 4.78, 14.77)
End:   (-0.42, 4.78, -14.77)

	20x20-6MV
6.142340	125.787599
6.162348	125.826770
6.182355	125.862819
6.202363	125.898257
6.222370	125.933694
6.242378	125.969132
6.262386	126.004570
6.282393	126.040007
6.302401	126.075445
6.322409	126.110882
6.342416	126.146320
6.362424	126.181757
6.382431	126.213263
6.402439	126.244020
6.422447	126.274776
6.442454	126.305533
6.462462	126.336290
6.482470	126.367046
6.502477	126.397803
6.522485	126.428560
6.542492	126.459316
6.562500	126.490073
6.582508	126.515667
6.602515	126.540305
6.622523	126.564944
6.642530	126.589582
6.662538	126.614220
6.682546	126.638858
6.702553	126.663497
6.722561	126.688135
6.742569	126.712773
6.762576	126.737411
6.782584	126.756919
6.802591	126.775505
6.822599	126.794091
6.842607	126.812676
6.862614	126.831262
6.882622	126.849847
6.902630	126.868433
6.922637	126.887019
6.942645	126.905604
6.962652	126.924190
6.982660	126.941200
7.002668	126.957935
7.022675	126.974671
7.042683	126.991406
7.062691	127.008141
7.082698	127.024876
7.102706	127.041612
7.122713	127.058347
7.142721	127.075082
7.162729	127.091817
7.182736	127.107012
7.202744	127.121945
7.222752	127.136879
7.242759	127.151812
7.262767	127.166746
7.282774	127.181679
7.302782	127.196613
7.322790	127.211546
7.342797	127.226480
7.362805	127.241413
7.382813	127.255180
7.402820	127.268755
7.422828	127.282330
7.442835	127.295906
7.462843	127.309481
7.482851	127.323056
7.502858	127.336631
7.522866	127.350206
7.542873	127.363781
7.562881	127.377357
7.582889	127.387718
7.602896	127.397569
7.622904	127.407419
7.642912	127.417270
7.662919	127.427121
7.682927	127.436971
7.702934	127.446822
7.722942	127.456673
7.742950	127.466523
7.762957	127.476374
7.782965	127.485160
7.802973	127.493783
7.822980	127.502405
7.842988	127.511028
7.862995	127.519650
7.883003	127.528273
7.903011	127.536895
7.923018	127.545518
7.943026	127.554140
7.963034	127.562763
7.983041	127.570774
8.003049	127.578694
8.023056	127.586614
8.043064	127.594534
8.063072	127.602454
8.083079	127.610374
8.103087	127.618294
8.123095	127.626214
8.143102	127.634134
8.163110	127.642054
8.183117	127.649441
8.203125	127.656751
8.223133	127.664062
8.243140	127.671372
8.263148	127.678683
8.283155	127.685993
8.303163	127.693303
8.323171	127.700614
8.343178	127.707924
8.363186	127.715234
8.383194	127.722161
8.403201	127.729034
8.423209	127.735907
8.443216	127.742780
8.463224	127.749653
8.483232	127.756526
8.503239	127.763399
8.523247	127.770272
8.543255	127.777146
8.563262	127.784019
8.583270	127.791541
8.603277	127.799151
8.623285	127.806761
8.643293	127.814371
8.663300	127.821981
8.683308	127.829590
8.703316	127.837200
8.723323	127.844810
8.743331	127.852420
8.763338	127.860030
8.783346	127.867563
8.803354	127.875086
8.823361	127.882610
8.843369	127.890133
8.863377	127.897657
8.883384	127.905180
8.903392	127.912703
8.923399	127.920227
8.943407	127.927750
8.963415	127.935274
8.983422	127.941439
9.003430	127.947435
9.023438	127.953431
9.043445	127.959427
9.063453	127.965423
9.083460	127.971419
9.103468	127.977415
9.123476	127.983411
9.143483	127.989407
9.163491	127.995403
9.183498	127.997502
9.203506	127.999135
9.223514	128.000769
9.243521	128.002402
9.263529	128.004036
9.283537	128.005669
9.303544	128.007302
9.323552	128.008936
9.343559	128.010569
9.363567	128.012203
9.383575	128.010176
9.403582	128.007729
9.423590	128.005283
9.443598	128.002836
9.463605	128.000389
9.483613	127.997943
9.503620	127.995496
9.523628	127.993050
9.543636	127.990603
9.563643	127.988157
9.583651	127.984183
9.603659	127.980040
9.623666	127.975898
9.643674	127.971756
9.663681	127.967614
9.683689	127.963472
9.703697	127.959329
9.723704	127.955187
9.743712	127.951045
9.763720	127.946903
9.783727	127.941054
9.803735	127.935025
9.823742	127.928996
9.843750	127.922968
9.863758	127.916939
9.883765	127.910910
9.903773	127.904882
9.923780	127.898853
9.943788	127.892824
9.963796	127.886795
9.983803	127.880258
10.003811	127.873669
10.023819	127.867081
10.043826	127.860492
10.063834	127.853904
10.083841	127.847315
10.103849	127.840726
10.123857	127.834138
10.143864	127.827549
10.163872	127.820960
10.183880	127.813748
10.203887	127.806475
10.223895	127.799203
10.243902	127.791930
10.263910	127.784657
10.283918	127.777385
10.303925	127.770112
10.323933	127.762840
10.343941	127.755567
10.363948	127.748294
10.383956	127.740411
10.403963	127.732471
10.423971	127.724531
10.443979	127.716591
10.463986	127.708651
10.483994	127.700712
10.504002	127.692772
10.524009	127.684832
10.544017	127.676892
10.564024	127.668952
10.584032	127.660902
10.604040	127.652841
10.624047	127.644781
10.644055	127.636720
10.664063	127.628660
10.684070	127.620599
10.704078	127.612539
10.724085	127.604479
10.744093	127.596418
10.764101	127.588358
10.784108	127.581378
10.804116	127.574488
10.824123	127.567598
10.844131	127.560708
10.864139	127.553818
10.884146	127.546927
10.904154	127.540037
10.924162	127.533147
10.944169	127.526257
10.964177	127.519367
10.984184	127.515776
11.004192	127.512442
11.024200	127.509109
11.044207	127.505775
11.064215	127.502442
11.084223	127.499108
11.104230	127.495774
11.124238	127.492441
11.144245	127.489107
11.164253	127.485774
11.184261	127.482532
11.204268	127.479296
11.224276	127.476061
11.244284	127.472825
11.264291	127.469589
11.284299	127.466354
11.304306	127.463118
11.324314	127.459883
11.344322	127.456647
11.364329	127.453412
11.384337	127.450094
11.404345	127.446771
11.424352	127.443447
11.444360	127.440123
11.464367	127.436800
11.484375	127.433476
11.504383	127.430153
11.524390	127.426829
11.544398	127.423506
11.564405	127.420182
11.584413	127.416624
11.604421	127.413050
11.624428	127.409476
11.644436	127.405902
11.664444	127.402328
11.684451	127.398754
11.704459	127.395181
11.724466	127.391607
11.744474	127.388033
11.764482	127.384459
11.784489	127.379155
11.804497	127.373747
11.824505	127.368338
11.844512	127.362929
11.864520	127.357520
11.884527	127.352112
11.904535	127.346703
11.924543	127.341294
11.944550	127.335886
11.964558	127.330477
11.984566	127.324560
12.004573	127.318614
12.024581	127.312669
12.044588	127.306723
12.064596	127.300778
12.084604	127.294832
12.104611	127.288886
12.124619	127.282941
12.144627	127.276995
12.164634	127.271050
12.184642	127.264604
12.204649	127.258132
12.224657	127.251660
12.244665	127.245188
12.264672	127.238716
12.284680	127.232243
12.304688	127.225771
12.324695	127.219299
12.344703	127.212827
12.364710	127.206355
12.384718	127.199872
12.404726	127.193388
12.424733	127.186905
12.444741	127.180421
12.464748	127.173937
12.484756	127.167454
12.504764	127.160970
12.524771	127.154486
12.544779	127.148002
12.564787	127.141519
12.584794	127.134340
12.604802	127.127130
12.624809	127.119921
12.644817	127.112712
12.664825	127.105502
12.684832	127.098293
12.704840	127.091083
12.724848	127.083874
12.744855	127.076665
12.764863	127.069455
12.784870	127.062439
12.804878	127.055430
12.824886	127.048421
12.844893	127.041412
12.864901	127.034403
12.884909	127.027394
12.904916	127.020385
12.924924	127.013376
12.944931	127.006367
12.964939	126.999358
12.984947	126.991989
13.004954	126.984607
13.024962	126.977225
13.044970	126.969843
13.064977	126.962461
13.084985	126.955078
13.104992	126.947696
13.125000	126.940314
13.145008	126.932932
13.165015	126.925550
13.185023	126.917896
13.205030	126.910234
13.225038	126.902572
13.245046	126.894910
13.265053	126.887248
13.285061	126.879586
13.305069	126.871923
13.325076	126.864261
13.345084	126.856599
13.365091	126.848937
13.385099	126.840842
13.405107	126.832734
13.425114	126.824627
13.445122	126.816520
13.465130	126.808413
13.485137	126.800306
13.505145	126.792199
13.525152	126.784092
13.545160	126.775985
13.565168	126.767878
13.585175	126.759108
13.605183	126.750322
13.625191	126.741537
13.645198	126.732751
13.665206	126.723965
13.685213	126.715180
13.705221	126.706394
13.725229	126.697609
13.745236	126.688823
13.765244	126.680038
13.785252	126.672491
13.805259	126.664969
13.825267	126.657447
13.845274	126.649924
13.865282	126.642402
13.885290	126.634880
13.905297	126.627357
13.925305	126.619835
13.945313	126.612313
13.965320	126.604791
13.985328	126.598677
14.005335	126.592586
14.025343	126.586494
14.045351	126.580403
14.065358	126.574312
14.085366	126.568220
14.105373	126.562129
14.125381	126.556037
14.145389	126.549946
14.165396	126.543854
14.185404	126.539396
14.205412	126.534957
14.225419	126.530518
14.245427	126.526079
14.265434	126.521639
14.285442	126.517200
14.305450	126.512761
14.325457	126.508321
14.345465	126.503882
14.365473	126.499443
14.385480	126.496637
14.405488	126.493843
14.425495	126.491049
14.445503	126.488255
14.465511	126.485462
14.485518	126.482668
14.505526	126.479874
14.525534	126.477080
14.545541	126.474287
14.565549	126.471493
14.585556	126.470443
14.605564	126.469399
14.625572	126.468356
14.645579	126.467312
14.665587	126.466269
14.685595	126.465225
14.705602	126.464182
14.725610	126.463138
14.745617	126.462094
14.765625	126.461051
14.785633	126.461953
14.805640	126.462856
14.825648	126.463758
14.845655	126.464660
14.865663	126.465563
14.885671	126.466465
14.905678	126.467367
14.925686	126.468269
14.945694	126.469172
14.965701	126.470083
14.985709	126.473348
15.005716	126.476613
15.025724	126.479878
15.045732	126.483143
15.065739	126.486408
15.085747	126.489674
15.105755	126.492939
15.125762	126.496204
15.145770	126.499469
15.165777	126.502742
15.185785	126.507109
15.205793	126.511476
15.225800	126.515844
15.245808	126.520211
15.265816	126.524578
15.285823	126.528945
15.305831	126.533312
15.325838	126.537679
15.345846	126.542046
15.365854	126.546433
15.385861	126.552577
15.405869	126.558721
15.425877	126.564865
15.445884	126.571008
15.465892	126.577152
15.485899	126.583296
15.505907	126.589439
15.525915	126.595583
15.545922	126.601727
15.565930	126.607891
15.585938	126.615378
15.605945	126.622864
15.625953	126.630351
15.645960	126.637838
15.665968	126.645324
15.685976	126.652811
15.705983	126.660298
15.725991	126.667784
15.745998	126.675271
15.766006	126.682775
15.786014	126.691147
15.806021	126.699519
15.826029	126.707892
15.846037	126.716264
15.866044	126.724636
15.886052	126.733009
15.906059	126.741381
15.926067	126.749753
15.946075	126.758126
15.966082	126.766487
15.986090	126.774365
16.006098	126.782244
16.026105	126.790123
16.046113	126.798002
16.066120	126.805881
16.086128	126.813760
16.106136	126.821639
16.126143	126.829517
16.146151	126.837396
16.166159	126.845269
16.186166	126.852929
16.206174	126.860588
16.226181	126.868247
16.246189	126.875906
16.266197	126.883566
16.286204	126.891225
16.306212	126.898884
16.326220	126.906543
16.346227	126.914203
16.366235	126.921851
16.386242	126.929145
16.406250	126.936439
16.426258	126.943733
16.446265	126.951027
16.466273	126.958321
16.486280	126.965615
16.506288	126.972909
16.526296	126.980203
16.546303	126.987497
16.566311	126.994794
16.586319	127.002176
16.606326	127.009559
16.626334	127.016941
16.646341	127.024323
16.666349	127.031705
16.686357	127.039087
16.706364	127.046469
16.726372	127.053851
16.746380	127.061233
16.766387	127.068584
16.786395	127.075149
16.806402	127.081714
16.826410	127.088278
16.846418	127.094843
16.866425	127.101408
16.886433	127.107972
16.906441	127.114537
16.926448	127.121102
16.946456	127.127666
16.966463	127.134220
16.986471	127.140527
17.006479	127.146833
17.026486	127.153139
17.046494	127.159446
17.066502	127.165752
17.086509	127.172059
17.106517	127.178365
17.126524	127.184671
17.146532	127.190978
17.166540	127.197288
17.186547	127.203681
17.206555	127.210074
17.226563	127.216466
17.246570	127.222859
17.266578	127.229252
17.286585	127.235645
17.306593	127.242038
17.326601	127.248430
17.346608	127.254823
17.366616	127.261176
17.386623	127.266754
17.406631	127.272333
17.426639	127.277912
17.446646	127.283490
17.466654	127.289069
17.486662	127.294648
17.506669	127.300226
17.526677	127.305805
17.546684	127.311384
17.566692	127.316919
17.586700	127.321676
17.606707	127.326434
17.626715	127.331191
17.646723	127.335948
17.666730	127.340706
17.686738	127.345463
17.706745	127.350220
17.726753	127.354978
17.746761	127.359735
17.766768	127.364432
17.786776	127.368126
17.806784	127.371820
17.826791	127.375515
17.846799	127.379209
17.866806	127.382903
17.886814	127.386598
17.906822	127.390292
17.926829	127.393987
17.946837	127.397681
17.966845	127.401358
17.986852	127.404761
18.006860	127.408165
18.026867	127.411569
18.046875	127.414973
18.066883	127.418377
18.086890	127.421781
18.106898	127.425184
18.126905	127.428588
18.146913	127.431992
18.166921	127.435391
18.186928	127.438714
18.206936	127.442038
18.226944	127.445361
18.246951	127.448685
18.266959	127.452008
18.286966	127.455332
18.306974	127.458655
18.326982	127.461979
18.346989	127.465303
18.366997	127.468614
18.387005	127.471766
18.407012	127.474918
18.427020	127.478070
18.447027	127.481222
18.467035	127.484374
18.487043	127.487525
18.507050	127.490677
18.527058	127.493829
18.547066	127.496981
18.567073	127.500423
18.587081	127.507581
18.607088	127.514739
18.627096	127.521897
18.647104	127.529055
18.667111	127.536213
18.687119	127.543372
18.707127	127.550530
18.727134	127.557688
18.747142	127.564846
18.767149	127.572094
18.787157	127.580431
18.807165	127.588767
18.827172	127.597104
18.847180	127.605441
18.867188	127.613777
18.887195	127.622114
18.907203	127.630451
18.927210	127.638787
18.947218	127.647124
18.967226	127.655465
18.987233	127.663860
19.007241	127.672254
19.027248	127.680648
19.047256	127.689043
19.067264	127.697437
19.087271	127.705831
19.107279	127.714225
19.127287	127.722620
19.147294	127.731014
19.167302	127.739325
19.187309	127.746730
19.207317	127.754134
19.227325	127.761539
19.247332	127.768944
19.267340	127.776348
19.287348	127.783753
19.307355	127.791157
19.327363	127.798562
19.347370	127.805966
19.367378	127.813268
19.387386	127.819490
19.407393	127.825713
19.427401	127.831936
19.447409	127.838159
19.467416	127.844381
19.487424	127.850604
19.507431	127.856827
19.527439	127.863050
19.547447	127.869272
19.567454	127.875444
19.587462	127.881109
19.607470	127.886774
19.627477	127.892440
19.647485	127.898105
19.667492	127.903770
19.687500	127.909435
19.707508	127.915100
19.727515	127.920766
19.747523	127.926431
19.767530	127.931964
19.787538	127.936250
19.807546	127.940535
19.827553	127.944820
19.847561	127.949105
19.867569	127.953390
19.887576	127.957675
19.907584	127.961960
19.927591	127.966245
19.947599	127.970530
19.967607	127.974673
19.987614	127.977514
20.007622	127.980356
20.027630	127.983198
20.047637	127.986039
20.067645	127.988881
20.087652	127.991722
20.107660	127.994564
20.127668	127.997406
20.147675	128.000247
20.167683	128.002589
20.187691	128.000564
20.207698	127.998540
20.227706	127.996516
20.247713	127.994492
20.267721	127.992468
20.287729	127.990444
20.307736	127.988420
20.327744	127.986396
20.347752	127.984372
20.367759	127.981845
20.387767	127.975106
20.407774	127.968367
20.427782	127.961628
20.447790	127.954889
20.467797	127.948150
20.487805	127.941411
20.507813	127.934673
20.527820	127.927934
20.547828	127.921195
20.567835	127.914342
20.587843	127.906566
20.607851	127.898791
20.627858	127.891015
20.647866	127.883240
20.667873	127.875465
20.687881	127.867689
20.707889	127.859914
20.727896	127.852138
20.747904	127.844363
20.767912	127.836559
20.787919	127.828534
20.807927	127.820510
20.827934	127.812485
20.847942	127.804461
20.867950	127.796436
20.887957	127.788412
20.907965	127.780387
20.927973	127.772362
20.947980	127.764338
20.967988	127.756374
20.987995	127.748862
21.008003	127.741350
21.028011	127.733839
21.048018	127.726327
21.068026	127.718815
21.088034	127.711303
21.108041	127.703792
21.128049	127.696280
21.148056	127.688768
21.168064	127.681300
21.188072	127.674143
21.208079	127.666987
21.228087	127.659831
21.248095	127.652674
21.268102	127.645518
21.288110	127.638362
21.308117	127.631205
21.328125	127.624049
21.348133	127.616893
21.368140	127.609676
21.388148	127.602041
21.408155	127.594406
21.428163	127.586771
21.448171	127.579136
21.468178	127.571501
21.488186	127.563866
21.508194	127.556231
21.528201	127.548596
21.548209	127.540961
21.568216	127.533154
21.588224	127.524192
21.608232	127.515230
21.628239	127.506269
21.648247	127.497307
21.668255	127.488345
21.688262	127.479384
21.708270	127.470422
21.728277	127.461461
21.748285	127.452499
21.768293	127.443298
21.788300	127.432544
21.808308	127.421790
21.828316	127.411035
21.848323	127.400281
21.868331	127.389527
21.888338	127.378772
21.908346	127.368018
21.928354	127.357264
21.948361	127.346509
21.968369	127.335534
21.988377	127.323169
22.008384	127.310803
22.028392	127.298438
22.048399	127.286072
22.068407	127.273707
22.088415	127.261341
22.108422	127.248976
22.128430	127.236610
22.148438	127.224245
22.168445	127.211586
22.188453	127.197142
22.208460	127.182698
22.228468	127.168253
22.248476	127.153809
22.268483	127.139365
22.288491	127.124921
22.308498	127.110476
22.328506	127.096032
22.348514	127.081588
22.368521	127.066934
22.388529	127.051042
22.408537	127.035151
22.428544	127.019259
22.448552	127.003368
22.468559	126.987476
22.488567	126.971585
22.508575	126.955693
22.528582	126.939802
22.548590	126.923910
22.568598	126.907673
22.588605	126.889457
22.608613	126.871240
22.628620	126.853023
22.648628	126.834806
22.668636	126.816590
22.688643	126.798373
22.708651	126.780156
22.728659	126.761940
22.748666	126.743723
22.768674	126.724685
22.788681	126.701082
22.808689	126.677479
22.828697	126.653876
22.848704	126.630273
22.868712	126.606670
22.888720	126.583067
22.908727	126.559464
22.928735	126.535861
22.948742	126.512258
22.968750	126.487647
22.988758	126.457588
23.008765	126.427529
23.028773	126.397471
23.048780	126.367412
23.068788	126.337354
23.088796	126.307295
23.108803	126.277237
23.128811	126.247178
23.148819	126.217120
23.168826	126.186346
23.188834	126.151820
23.208841	126.117293
23.228849	126.082767
23.248857	126.048240
23.268864	126.013714
23.288872	125.979187
23.308880	125.944661
23.328887	125.910134
23.348895	125.875608
23.368902	125.840596
23.388910	125.803108
23.408918	125.765619
23.428925	125.728131
23.448933	125.690642
23.468941	125.653153
23.488948	125.615665
23.508956	125.578176
23.528963	125.540688
23.548971	125.503199
23.568979	125.464913
23.588986	125.422663
23.608994	125.380413
23.629002	125.338164
23.649009	125.295914
23.669017	125.253665
23.689024	125.211415
23.709032	125.169165
23.729040	125.126916
23.749047	125.084666
23.769055	125.040148
23.789063	124.984663
23.809070	124.929178
23.829078	124.873693
23.849085	124.818208
23.869093	124.762723
23.889101	124.707238
23.909108	124.651753
23.929116	124.596269
23.949123	124.540784
23.969131	124.482235
23.989139	124.409267
24.009146	124.336298
24.029154	124.263330
24.049162	124.190361
24.069169	124.117393
24.089177	124.044424
24.109184	123.971456
24.129192	123.898487
24.149200	123.825519
24.169207	123.747772
24.189215	123.648119
24.209223	123.548466
24.229230	123.448812
24.249238	123.349159
24.269245	123.249506
24.289253	123.149853
24.309261	123.050200
24.329268	122.950546
24.349276	122.850893
24.369284	122.742209
24.389291	122.593166
24.409299	122.444123
24.429306	122.295080
24.449314	122.146037
24.469322	121.996994
24.489329	121.847951
24.509337	121.698908
24.529345	121.549865
24.549352	121.400822
24.569360	121.226174
24.589367	120.939960
24.609375	120.653747
24.629383	120.367534
24.649390	120.081320
24.669398	119.795107
24.689405	119.508894
24.709413	119.222680
24.729421	118.936467
24.749428	118.650254
24.769436	118.287138
24.789444	117.597189
24.809451	116.907239
24.829459	116.217289
24.849466	115.527340
24.869474	114.837390
24.889482	114.147440
24.909489	113.457491
24.929497	112.767541
24.949505	112.077592
24.969512	111.097797
24.989520	108.915999
25.009527	106.734201
25.029535	104.552402
25.049543	102.370604
25.069550	100.188806
25.089558	98.007008
25.109566	95.825209
25.129573	93.643411
25.149581	91.461613
25.169588	88.629359
25.189596	83.164013
25.209604	77.698666
25.229611	72.233320
25.249619	66.767973
25.269627	61.302627
25.289634	55.837281
25.309642	50.371934
25.329649	44.906588
25.349657	39.441241
25.369665	34.829460
25.389672	33.591675
25.409680	32.353891
25.429688	31.116106
25.449695	29.878322
25.469703	28.640537
25.489710	27.402753
25.509718	26.164968
25.529726	24.927184
25.549733	23.689399
25.569741	22.593914
25.589748	22.047859
25.609756	21.501805
25.629764	20.955751
25.649771	20.409697
25.669779	19.863643
25.689787	19.317589
25.709794	18.771534
25.729802	18.225480
25.749809	17.679426
25.769817	17.193882
25.789825	16.936628
25.809832	16.679373
25.829840	16.422118
25.849848	16.164863
25.869855	15.907608
25.889863	15.650354
25.909870	15.393099
25.929878	15.135844
25.949886	14.878589
25.969893	14.644262
25.989901	14.494482
26.009909	14.344703
26.029916	14.194923
26.049924	14.045143
26.069931	13.895363
26.089939	13.745583
26.109947	13.595803
26.129954	13.446023
26.149962	13.296243
26.169970	13.158218
26.189977	13.062569
26.209985	12.966920
26.229992	12.871272
26.250000	12.775623
26.270008	12.679975
26.290015	12.584326
26.310023	12.488678
26.330030	12.393029
26.350038	12.297381
26.370046	12.206225
26.390053	12.130910
26.410061	12.055595
26.430069	11.980279
26.450076	11.904964
26.470084	11.829649
26.490091	11.754334
26.510099	11.679019
26.530107	11.603704
26.550114	11.528389
26.570122	11.456233
26.590130	11.394973
26.610137	11.333714
26.630145	11.272454
26.650152	11.211194
26.670160	11.149935
26.690168	11.088675
26.710175	11.027415
26.730183	10.966155
26.750191	10.904896
26.770198	10.846046
26.790206	10.795328
26.810213	10.744610
26.830221	10.693893
26.850229	10.643175
26.870236	10.592458
26.890244	10.541740
26.910252	10.491022
26.930259	10.440305
26.950267	10.389587
26.970274	10.340240
