Delivery System	U09	
Energy	6 MV	
Scan Type	Inline	
Depth	0.00	
Field	5.6cm x 5.6cm (MLC)	
Wedge	Open Field	
Comments	air	

	0.00 cm : ScanId=425	
-4.79400010429704		
-4.54400010429704	1.83	
-4.29400010429704	2.09	
-4.04400010429704	2.28	
-3.79400010429704	2.61	
-3.54400010429704	2.95	
-3.29400010429704	3.27	
-3.04400010429704	4.88	
-2.79400010429704	34.88	
-2.54400010429704	87.55	
-2.29400010429704	98.07	
-2.04400010429704	98.74	
-1.79400010429704	98.92	
-1.54400010429704	99.33	
-1.29400010429704	99.91	
-1.04400010429704	100.37	
-0.794000104297036	100.19	
-0.544000104297036	100.07	
-0.294000104297036	99.92	
-0.0440001042970364	99.71	
0.205999895702964	99.76	
0.455999895702964	99.83	
0.705999895702964	99.76	
0.955999895702964	100.15	
1.20599989570296	100.19	
1.45599989570296	99.66	
1.70599989570296	99.20	
1.95599989570296	98.86	
2.20599989570296	98.53	
2.45599989570296	97.79	
2.70599989570296	75.88	
2.95599989570296	21.86	
3.20599989570296	4.51	
3.45599989570296	3.49	
3.70599989570296	3.00	
3.95599989570296	2.77	
4.20599989570296	2.51	
4.45599989570296	2.16	
4.70599989570296	2.17	
