Delivery System	U03	
Energy	6 MV	
Scan Type	Profile at Angle	
Depth	5.00	
Field	40cm x 40cm (Jaws)	
Wedge	Open Field	
Comments		

	5.00 cm : ScanId=36	
-29.0353368940261	6.23	
-29.0053368940261	6.27	
-28.9753368940261	6.31	
-28.9453368940261	6.36	
-28.9153368940261	6.41	
-28.8853368940261	6.46	
-28.8553368940261	6.51	
-28.8253368940261	6.58	
-28.7953368940261	6.65	
-28.7653368940261	6.72	
-28.7353368940261	6.78	
-28.7053368940261	6.84	
-28.6753368940261	6.89	
-28.6453368940261	6.93	
-28.6153368940261	6.98	
-28.5853368940261	7.02	
-28.5553368940261	7.08	
-28.5253368940261	7.14	
-28.4953368940261	7.20	
-28.4653368940261	7.26	
-28.4353368940261	7.33	
-28.4053368940261	7.40	
-28.3753368940261	7.48	
-28.3453368940261	7.55	
-28.3153368940261	7.63	
-28.2853368940261	7.72	
-28.2553368940261	7.81	
-28.2253368940261	7.90	
-28.1953368940261	7.99	
-28.1653368940261	8.08	
-28.1353368940261	8.17	
-28.1053368940261	8.25	
-28.0753368940261	8.34	
-28.0453368940261	8.44	
-28.0153368940261	8.55	
-27.9853368940261	8.67	
-27.9553368940261	8.79	
-27.9253368940261	8.91	
-27.8953368940261	9.05	
-27.8653368940261	9.18	
-27.8353368940261	9.32	
-27.8053368940261	9.45	
-27.7753368940261	9.59	
-27.7453368940261	9.72	
-27.7153368940261	9.85	
-27.6853368940261	9.98	
-27.6553368940261	10.11	
-27.6253368940261	10.29	
-27.5953368940261	10.47	
-27.5653368940261	10.65	
-27.5353368940261	10.83	
-27.5053368940261	11.03	
-27.4753368940261	11.24	
-27.445336894026	11.46	
-27.415336894026	11.67	
-27.385336894026	11.89	
-27.355336894026	12.15	
-27.325336894026	12.40	
-27.295336894026	12.66	
-27.265336894026	12.92	
-27.235336894026	13.27	
-27.205336894026	13.65	
-27.175336894026	14.04	
-27.145336894026	14.42	
-27.115336894026	14.85	
-27.085336894026	15.35	
-27.055336894026	15.86	
-27.025336894026	16.37	
-26.995336894026	16.88	
-26.965336894026	17.59	
-26.935336894026	18.32	
-26.905336894026	19.05	
-26.875336894026	19.78	
-26.845336894026	20.71	
-26.815336894026	21.84	
-26.785336894026	22.96	
-26.755336894026	24.09	
-26.725336894026	25.25	
-26.695336894026	26.71	
-26.665336894026	28.17	
-26.635336894026	29.63	
-26.605336894026	31.09	
-26.575336894026	32.63	
-26.545336894026	34.23	
-26.515336894026	35.82	
-26.485336894026	37.42	
-26.455336894026	39.03	
-26.425336894026	40.66	
-26.395336894026	42.30	
-26.365336894026	43.94	
-26.335336894026	45.58	
-26.305336894026	47.05	
-26.275336894026	48.50	
-26.245336894026	49.95	
-26.215336894026	51.39	
-26.185336894026	52.76	
-26.155336894026	54.02	
-26.125336894026	55.29	
-26.095336894026	56.55	
-26.065336894026	57.81	
-26.035336894026	58.66	
-26.005336894026	59.52	
-25.975336894026	60.37	
-25.945336894026	61.22	
-25.915336894026	61.95	
-25.885336894026	62.61	
-25.855336894026	63.26	
-25.825336894026	63.91	
-25.795336894026	64.55	
-25.765336894026	65.10	
-25.735336894026	65.66	
-25.705336894026	66.21	
-25.675336894026	66.77	
-25.645336894026	67.31	
-25.615336894026	67.84	
-25.585336894026	68.37	
-25.555336894026	68.90	
-25.525336894026	69.40	
-25.495336894026	69.84	
-25.465336894026	70.27	
-25.435336894026	70.71	
-25.405336894026	71.14	
-25.375336894026	71.62	
-25.345336894026	72.10	
-25.315336894026	72.58	
-25.285336894026	73.06	
-25.255336894026	73.55	
-25.225336894026	74.05	
-25.195336894026	74.56	
-25.165336894026	75.06	
-25.135336894026	75.56	
-25.105336894026	76.00	
-25.075336894026	76.43	
-25.045336894026	76.87	
-25.015336894026	77.31	
-24.985336894026	77.71	
-24.955336894026	78.11	
-24.925336894026	78.50	
-24.895336894026	78.89	
-24.865336894026	79.30	
-24.835336894026	79.76	
-24.8053368940259	80.22	
-24.7753368940259	80.68	
-24.7453368940259	81.15	
-24.7153368940259	81.55	
-24.6853368940259	81.93	
-24.6553368940259	82.31	
-24.6253368940259	82.69	
-24.5953368940259	83.05	
-24.5653368940259	83.38	
-24.5353368940259	83.71	
-24.5053368940259	84.04	
-24.4753368940259	84.36	
-24.4453368940259	84.63	
-24.4153368940259	84.89	
-24.3853368940259	85.15	
-24.3553368940259	85.41	
-24.3253368940259	85.64	
-24.2953368940259	85.85	
-24.2653368940259	86.06	
-24.2353368940259	86.27	
-24.2053368940259	86.48	
-24.1753368940259	86.67	
-24.1453368940259	86.85	
-24.1153368940259	87.04	
-24.0853368940259	87.23	
-24.0553368940259	87.43	
-24.0253368940259	87.64	
-23.9953368940259	87.85	
-23.9653368940259	88.05	
-23.9353368940259	88.25	
-23.9053368940259	88.43	
-23.8753368940259	88.61	
-23.8453368940259	88.79	
-23.8153368940259	88.97	
-23.7853368940259	89.06	
-23.7553368940259	89.14	
-23.7253368940259	89.22	
-23.6953368940259	89.29	
-23.6653368940259	89.37	
-23.6353368940259	89.46	
-23.6053368940259	89.54	
-23.5753368940259	89.62	
-23.5453368940259	89.70	
-23.5153368940259	89.86	
-23.4853368940259	90.01	
-23.4553368940259	90.17	
-23.4253368940259	90.33	
-23.3953368940259	90.45	
-23.3653368940259	90.54	
-23.3353368940259	90.64	
-23.3053368940259	90.73	
-23.2753368940259	90.82	
-23.2453368940259	90.86	
-23.2153368940259	90.90	
-23.1853368940259	90.94	
-23.1553368940259	90.98	
-23.1253368940259	91.04	
-23.0953368940259	91.10	
-23.0653368940259	91.16	
-23.0353368940259	91.22	
-23.0053368940259	91.30	
-22.9753368940259	91.39	
-22.9453368940259	91.49	
-22.9153368940259	91.58	
-22.8853368940259	91.67	
-22.8553368940259	91.64	
-22.8253368940259	91.60	
-22.7953368940259	91.56	
-22.7653368940259	91.52	
-22.7353368940259	91.51	
-22.7053368940259	91.53	
-22.6753368940259	91.56	
-22.6453368940259	91.58	
-22.6153368940259	91.60	
-22.5853368940259	91.60	
-22.5553368940259	91.60	
-22.5253368940259	91.61	
-22.4953368940259	91.61	
-22.4653368940259	91.59	
-22.4353368940259	91.55	
-22.4053368940259	91.52	
-22.3753368940259	91.49	
-22.3453368940259	91.45	
-22.3153368940259	91.40	
-22.2853368940259	91.35	
-22.2553368940259	91.30	
-22.2253368940259	91.25	
-22.1953368940259	91.21	
-22.1653368940258	91.16	
-22.1353368940258	91.11	
-22.1053368940258	91.07	
-22.0753368940258	91.02	
-22.0453368940258	90.97	
-22.0153368940258	90.92	
-21.9853368940258	90.86	
-21.9553368940258	90.81	
-21.9253368940258	90.72	
-21.8953368940258	90.63	
-21.8653368940258	90.55	
-21.8353368940258	90.46	
-21.8053368940258	90.37	
-21.7753368940258	90.28	
-21.7453368940258	90.19	
-21.7153368940258	90.09	
-21.6853368940258	90.02	
-21.6553368940258	89.99	
-21.6253368940258	89.97	
-21.5953368940258	89.94	
-21.5653368940258	89.92	
-21.5353368940258	89.86	
-21.5053368940258	89.79	
-21.4753368940258	89.72	
-21.4453368940258	89.65	
-21.4153368940258	89.58	
-21.3853368940258	89.51	
-21.3553368940258	89.44	
-21.3253368940258	89.37	
-21.2953368940258	89.29	
-21.2653368940258	89.22	
-21.2353368940258	89.16	
-21.2053368940258	89.09	
-21.1753368940258	89.02	
-21.1453368940258	88.98	
-21.1153368940258	88.97	
-21.0853368940258	88.96	
-21.0553368940258	88.95	
-21.0253368940258	88.94	
-20.9953368940258	88.89	
-20.9653368940258	88.83	
-20.9353368940258	88.78	
-20.9053368940258	88.73	
-20.8753368940258	88.72	
-20.8453368940258	88.72	
-20.8153368940258	88.73	
-20.7853368940258	88.74	
-20.7553368940258	88.75	
-20.7253368940258	88.79	
-20.6953368940258	88.84	
-20.6653368940258	88.88	
-20.6353368940258	88.92	
-20.6053368940258	88.86	
-20.5753368940258	88.78	
-20.5453368940258	88.70	
-20.5153368940258	88.62	
-20.4853368940258	88.59	
-20.4553368940258	88.63	
-20.4253368940258	88.67	
-20.3953368940258	88.71	
-20.3653368940258	88.74	
-20.3353368940258	88.72	
-20.3053368940258	88.70	
-20.2753368940258	88.68	
-20.2453368940258	88.66	
-20.2153368940258	88.64	
-20.1853368940258	88.62	
-20.1553368940258	88.59	
-20.1253368940258	88.57	
-20.0953368940258	88.56	
-20.0653368940258	88.61	
-20.0353368940258	88.66	
-20.0053368940258	88.71	
-19.9753368940258	88.76	
-19.9453368940258	88.75	
-19.9153368940258	88.73	
-19.8853368940258	88.70	
-19.8553368940258	88.67	
-19.8253368940258	88.65	
-19.7953368940258	88.64	
-19.7653368940258	88.63	
-19.7353368940258	88.62	
-19.7053368940258	88.61	
-19.6753368940258	88.63	
-19.6453368940258	88.64	
-19.6153368940258	88.65	
-19.5853368940258	88.67	
-19.5553368940258	88.66	
-19.5253368940257	88.64	
-19.4953368940257	88.63	
-19.4653368940257	88.61	
-19.4353368940257	88.59	
-19.4053368940257	88.60	
-19.3753368940257	88.61	
-19.3453368940257	88.62	
-19.3153368940257	88.62	
-19.2853368940257	88.63	
-19.2553368940257	88.64	
-19.2253368940257	88.65	
-19.1953368940257	88.66	
-19.1653368940257	88.66	
-19.1353368940257	88.64	
-19.1053368940257	88.61	
-19.0753368940257	88.58	
-19.0453368940257	88.56	
-19.0153368940257	88.56	
-18.9853368940257	88.57	
-18.9553368940257	88.58	
-18.9253368940257	88.59	
-18.8953368940257	88.59	
-18.8653368940257	88.59	
-18.8353368940257	88.59	
-18.8053368940257	88.59	
-18.7753368940257	88.59	
-18.7453368940257	88.60	
-18.7153368940257	88.60	
-18.6853368940257	88.60	
-18.6553368940257	88.60	
-18.6253368940257	88.60	
-18.5953368940257	88.61	
-18.5653368940257	88.62	
-18.5353368940257	88.63	
-18.5053368940257	88.63	
-18.4753368940257	88.64	
-18.4453368940257	88.65	
-18.4153368940257	88.65	
-18.3853368940257	88.66	
-18.3553368940257	88.64	
-18.3253368940257	88.63	
-18.2953368940257	88.61	
-18.2653368940257	88.59	
-18.2353368940257	88.57	
-18.2053368940257	88.56	
-18.1753368940257	88.54	
-18.1453368940257	88.52	
-18.1153368940257	88.51	
-18.0853368940257	88.49	
-18.0553368940257	88.48	
-18.0253368940257	88.46	
-17.9953368940257	88.44	
-17.9653368940257	88.45	
-17.9353368940257	88.48	
-17.9053368940257	88.50	
-17.8753368940257	88.53	
-17.8453368940257	88.56	
-17.8153368940257	88.58	
-17.7853368940257	88.60	
-17.7553368940257	88.61	
-17.7253368940257	88.63	
-17.6953368940257	88.64	
-17.6653368940257	88.64	
-17.6353368940257	88.64	
-17.6053368940257	88.64	
-17.5753368940257	88.65	
-17.5453368940257	88.68	
-17.5153368940257	88.70	
-17.4853368940257	88.73	
-17.4553368940257	88.75	
-17.4253368940257	88.73	
-17.3953368940257	88.70	
-17.3653368940257	88.67	
-17.3353368940257	88.64	
-17.3053368940257	88.63	
-17.2753368940257	88.66	
-17.2453368940257	88.69	
-17.2153368940257	88.71	
-17.1853368940257	88.74	
-17.1553368940257	88.76	
-17.1253368940257	88.79	
-17.0953368940257	88.82	
