Delivery System	U03	
Energy	6 MV	
Scan Type	Profile at Angle	
Depth	5.00	
Field	40cm x 40cm (Jaws)	
Wedge	Open Field	
Comments		

	5.00 cm : ScanId=35	
-29.0332151828748	6.18	
-29.0032151828748	6.23	
-28.9732151828748	6.29	
-28.9432151828748	6.34	
-28.9132151828748	6.40	
-28.8832151828748	6.45	
-28.8532151828748	6.51	
-28.8232151828748	6.57	
-28.7932151828748	6.62	
-28.7632151828748	6.68	
-28.7332151828748	6.74	
-28.7032151828748	6.80	
-28.6732151828748	6.87	
-28.6432151828748	6.94	
-28.6132151828748	7.02	
-28.5832151828748	7.09	
-28.5532151828748	7.14	
-28.5232151828748	7.19	
-28.4932151828748	7.24	
-28.4632151828748	7.29	
-28.4332151828748	7.37	
-28.4032151828748	7.47	
-28.3732151828748	7.57	
-28.3432151828748	7.67	
-28.3132151828748	7.77	
-28.2832151828748	7.86	
-28.2532151828748	7.94	
-28.2232151828748	8.03	
-28.1932151828748	8.12	
-28.1632151828748	8.21	
-28.1332151828748	8.30	
-28.1032151828748	8.39	
-28.0732151828748	8.47	
-28.0432151828748	8.57	
-28.0132151828748	8.67	
-27.9832151828748	8.78	
-27.9532151828748	8.89	
-27.9232151828748	9.00	
-27.8932151828748	9.13	
-27.8632151828748	9.27	
-27.8332151828748	9.41	
-27.8032151828748	9.54	
-27.7732151828748	9.67	
-27.7432151828748	9.76	
-27.7132151828748	9.85	
-27.6832151828748	9.94	
-27.6532151828748	10.04	
-27.6232151828748	10.18	
-27.5932151828748	10.33	
-27.5632151828748	10.49	
-27.5332151828748	10.64	
-27.5032151828748	10.82	
-27.4732151828748	11.03	
-27.4432151828748	11.25	
-27.4132151828748	11.46	
-27.3832151828748	11.68	
-27.3532151828748	11.95	
-27.3232151828748	12.22	
-27.2932151828748	12.49	
-27.2632151828748	12.76	
-27.2332151828748	13.13	
-27.2032151828748	13.56	
-27.1732151828747	13.98	
-27.1432151828747	14.41	
-27.1132151828747	14.89	
-27.0832151828747	15.51	
-27.0532151828747	16.14	
-27.0232151828747	16.76	
-26.9932151828747	17.38	
-26.9632151828747	18.26	
-26.9332151828747	19.18	
-26.9032151828747	20.10	
-26.8732151828747	21.03	
-26.8432151828747	22.09	
-26.8132151828747	23.33	
-26.7832151828747	24.57	
-26.7532151828747	25.82	
-26.7232151828747	27.06	
-26.6932151828747	28.53	
-26.6632151828747	29.99	
-26.6332151828747	31.46	
-26.6032151828747	32.92	
-26.5732151828747	34.45	
-26.5432151828747	36.03	
-26.5132151828747	37.61	
-26.4832151828747	39.19	
-26.4532151828747	40.76	
-26.4232151828747	42.31	
-26.3932151828747	43.85	
-26.3632151828747	45.39	
-26.3332151828747	46.94	
-26.3032151828747	48.47	
-26.2732151828747	50.00	
-26.2432151828747	51.53	
-26.2132151828747	53.06	
-26.1832151828747	54.47	
-26.1532151828747	55.62	
-26.1232151828747	56.77	
-26.0932151828747	57.92	
-26.0632151828747	59.06	
-26.0332151828747	59.89	
-26.0032151828747	60.70	
-25.9732151828747	61.51	
-25.9432151828747	62.31	
-25.9132151828747	62.99	
-25.8832151828747	63.57	
-25.8532151828747	64.16	
-25.8232151828747	64.74	
-25.7932151828747	65.32	
-25.7632151828747	65.90	
-25.7332151828747	66.48	
-25.7032151828747	67.06	
-25.6732151828747	67.65	
-25.6432151828747	68.17	
-25.6132151828747	68.66	
-25.5832151828747	69.15	
-25.5532151828747	69.64	
-25.5232151828747	70.15	
-25.4932151828747	70.68	
-25.4632151828747	71.21	
-25.4332151828747	71.74	
-25.4032151828747	72.27	
-25.3732151828747	72.72	
-25.3432151828747	73.16	
-25.3132151828747	73.59	
-25.2832151828747	74.03	
-25.2532151828747	74.49	
-25.2232151828747	75.00	
-25.1932151828747	75.51	
-25.1632151828747	76.02	
-25.1332151828747	76.53	
-25.1032151828747	77.01	
-25.0732151828747	77.48	
-25.0432151828747	77.96	
-25.0132151828747	78.44	
-24.9832151828747	78.90	
-24.9532151828747	79.34	
-24.9232151828747	79.78	
-24.8932151828747	80.23	
-24.8632151828747	80.65	
-24.8332151828747	81.00	
-24.8032151828747	81.35	
-24.7732151828747	81.70	
-24.7432151828747	82.05	
-24.7132151828747	82.41	
-24.6832151828747	82.76	
-24.6532151828747	83.11	
-24.6232151828747	83.47	
-24.5932151828747	83.80	
-24.5632151828747	84.08	
-24.5332151828746	84.35	
-24.5032151828746	84.63	
-24.4732151828746	84.91	
-24.4432151828746	85.21	
-24.4132151828746	85.51	
-24.3832151828746	85.81	
-24.3532151828746	86.11	
-24.3232151828746	86.35	
-24.2932151828746	86.53	
-24.2632151828746	86.71	
-24.2332151828746	86.89	
-24.2032151828746	87.07	
-24.1732151828746	87.27	
-24.1432151828746	87.47	
-24.1132151828746	87.68	
-24.0832151828746	87.88	
-24.0532151828746	88.04	
-24.0232151828746	88.18	
-23.9932151828746	88.33	
-23.9632151828746	88.47	
-23.9332151828746	88.60	
-23.9032151828746	88.69	
-23.8732151828746	88.79	
-23.8432151828746	88.88	
-23.8132151828746	88.97	
-23.7832151828746	89.13	
-23.7532151828746	89.31	
-23.7232151828746	89.48	
-23.6932151828746	89.65	
-23.6632151828746	89.82	
-23.6332151828746	89.97	
-23.6032151828746	90.12	
-23.5732151828746	90.27	
-23.5432151828746	90.42	
-23.5132151828746	90.52	
-23.4832151828746	90.62	
-23.4532151828746	90.73	
-23.4232151828746	90.83	
-23.3932151828746	90.90	
-23.3632151828746	90.96	
-23.3332151828746	91.02	
-23.3032151828746	91.08	
-23.2732151828746	91.15	
-23.2432151828746	91.26	
-23.2132151828746	91.38	
-23.1832151828746	91.49	
-23.1532151828746	91.61	
-23.1232151828746	91.64	
-23.0932151828746	91.64	
-23.0632151828746	91.64	
-23.0332151828746	91.64	
-23.0032151828746	91.68	
-22.9732151828746	91.79	
-22.9432151828746	91.89	
-22.9132151828746	92.00	
-22.8832151828746	92.11	
-22.8532151828746	92.08	
-22.8232151828746	92.04	
-22.7932151828746	92.01	
-22.7632151828746	91.97	
-22.7332151828746	91.93	
-22.7032151828746	91.88	
-22.6732151828746	91.84	
-22.6432151828746	91.79	
-22.6132151828746	91.76	
-22.5832151828746	91.86	
-22.5532151828746	91.95	
-22.5232151828746	92.04	
-22.4932151828746	92.14	
-22.4632151828746	92.14	
-22.4332151828746	92.09	
-22.4032151828746	92.05	
-22.3732151828746	92.00	
-22.3432151828746	91.94	
-22.3132151828746	91.83	
-22.2832151828746	91.72	
-22.2532151828746	91.61	
-22.2232151828746	91.50	
-22.1932151828746	91.44	
-22.1632151828746	91.40	
-22.1332151828746	91.36	
-22.1032151828746	91.31	
-22.0732151828746	91.26	
-22.0432151828746	91.20	
-22.0132151828746	91.14	
-21.9832151828746	91.08	
-21.9532151828746	91.02	
-21.9232151828746	90.92	
-21.8932151828745	90.81	
-21.8632151828745	90.71	
-21.8332151828745	90.61	
-21.8032151828745	90.53	
-21.7732151828745	90.47	
-21.7432151828745	90.41	
-21.7132151828745	90.36	
-21.6832151828745	90.29	
-21.6532151828745	90.19	
-21.6232151828745	90.09	
-21.5932151828745	90.00	
-21.5632151828745	89.90	
-21.5332151828745	89.85	
-21.5032151828745	89.81	
-21.4732151828745	89.77	
-21.4432151828745	89.73	
-21.4132151828745	89.68	
-21.3832151828745	89.62	
-21.3532151828745	89.56	
-21.3232151828745	89.49	
-21.2932151828745	89.43	
-21.2632151828745	89.44	
-21.2332151828745	89.45	
-21.2032151828745	89.46	
-21.1732151828745	89.47	
-21.1432151828745	89.44	
-21.1132151828745	89.37	
-21.0832151828745	89.29	
-21.0532151828745	89.22	
-21.0232151828745	89.15	
-20.9932151828745	89.15	
-20.9632151828745	89.15	
-20.9332151828745	89.14	
-20.9032151828745	89.14	
-20.8732151828745	89.10	
-20.8432151828745	89.05	
-20.8132151828745	88.99	
-20.7832151828745	88.94	
-20.7532151828745	88.90	
-20.7232151828745	88.92	
-20.6932151828745	88.94	
-20.6632151828745	88.96	
-20.6332151828745	88.99	
-20.6032151828745	89.03	
-20.5732151828745	89.08	
-20.5432151828745	89.13	
-20.5132151828745	89.18	
-20.4832151828745	89.16	
-20.4532151828745	89.04	
-20.4232151828745	88.93	
-20.3932151828745	88.81	
-20.3632151828745	88.69	
-20.3332151828745	88.73	
-20.3032151828745	88.76	
-20.2732151828745	88.80	
-20.2432151828745	88.83	
-20.2132151828745	88.84	
-20.1832151828745	88.83	
-20.1532151828745	88.82	
-20.1232151828745	88.81	
-20.0932151828745	88.81	
-20.0632151828745	88.82	
-20.0332151828745	88.83	
-20.0032151828745	88.84	
-19.9732151828745	88.85	
-19.9432151828745	88.86	
-19.9132151828745	88.86	
-19.8832151828745	88.87	
-19.8532151828745	88.88	
