0	33.74
0.1	38.4
0.2	44.07
0.3	50.92
0.4	57.88
0.5	64.17
0.6	69.55
0.7	74.13
0.8	78.05
0.9	81.4
1	84.29
1.1	86.82
1.2	89.04
1.3	90.89
1.4	92.45
1.5	93.79
1.6	94.94
1.7	95.97
1.8	96.89
1.9	97.65
2	98.19
2.1	98.64
2.2	99.07
2.3	99.45
2.4	99.72
2.5	99.87
2.6	99.95
2.7	100
2.8	99.99
2.9	99.92
3	99.84
3.1	99.76
3.2	99.61
3.3	99.35
3.4	99.09
3.5	98.92
3.6	98.79
3.7	98.61
3.8	98.35
3.9	98.03
4	97.73
4.1	97.47
4.2	97.18
4.3	96.8
4.4	96.38
4.5	95.95
4.6	95.53
4.7	95.15
4.8	94.86
4.9	94.59
5	94.3
5.1	93.94
5.2	93.56
5.3	93.21
5.4	92.91
5.5	92.63
5.6	92.33
5.7	91.97
5.8	91.55
5.9	91.09
6	90.67
6.1	90.27
6.2	89.86
6.3	89.43
6.4	89.05
6.5	88.75
6.6	88.5
6.7	88.22
6.8	87.86
6.9	87.44
7	87.03
7.1	86.67
7.2	86.3
7.3	85.9
7.4	85.53
7.5	85.21
7.6	84.93
7.7	84.66
7.8	84.32
7.9	83.93
8	83.54
8.1	83.12
8.2	82.71
8.3	82.38
8.4	82.1
8.5	81.79
8.6	81.45
8.7	81.14
8.8	80.85
8.9	80.58
9	80.3
9.1	79.96
9.2	79.53
9.3	79.16
9.4	78.89
9.5	78.6
9.6	78.26
9.7	77.93
9.8	77.66
9.9	77.38
10	77.07
10.1	76.76
10.2	76.45
10.3	76.12
10.4	75.75
10.5	75.37
10.6	74.99
10.7	74.6
10.8	74.25
10.9	73.92
11	73.59
11.1	73.24
11.2	72.89
11.3	72.58
11.4	72.33
11.5	72.09
11.6	71.84
11.7	71.54
11.8	71.23
11.9	70.9
12	70.57
12.1	70.29
12.2	70.04
12.3	69.77
12.4	69.45
12.5	69.1
12.6	68.74
12.7	68.41
12.8	68.14
12.9	67.88
13	67.58
13.1	67.26
13.2	66.97
13.3	66.71
13.4	66.44
13.5	66.18
13.6	66.01
13.7	65.79
13.8	65.51
13.9	65.21
14	64.9
14.1	64.58
14.2	64.25
14.3	63.93
14.4	63.64
14.5	63.37
14.6	63.13
14.7	62.91
14.8	62.68
14.9	62.44
15	62.15
15.1	61.81
15.2	61.49
15.3	61.21
15.4	60.95
15.5	60.71
15.6	60.47
15.7	60.24
15.8	59.97
15.9	59.7
16	59.44
16.1	59.21
16.2	58.99
16.3	58.76
16.4	58.51
16.5	58.25
16.6	57.96
16.7	57.68
16.8	57.42
16.9	57.19
17	56.95
17.1	56.7
17.2	56.45
17.3	56.2
17.4	55.97
17.5	55.74
17.6	55.49
17.7	55.22
17.8	54.94
17.9	54.67
18	54.4
18.1	54.14
18.2	53.93
18.3	53.74
18.4	53.54
18.5	53.33
18.6	53.12
18.7	52.92
18.8	52.73
18.9	52.51
19	52.25
19.1	51.97
19.2	51.72
19.3	51.48
19.4	51.28
19.5	51.14
19.6	50.99
19.7	50.78
19.8	50.53
19.9	50.27
20	50.02
20.1	49.79
20.2	49.56
20.3	49.32
20.4	49.12
20.5	48.95
20.6	48.76
20.7	48.55
20.8	48.31
20.9	48.1
21	47.91
21.1	47.71
21.2	47.47
21.3	47.22
21.4	46.99
21.5	46.78
21.6	46.56
21.7	46.34
21.8	46.13
21.9	45.94
22	45.77
22.1	45.6
22.2	45.4
22.3	45.18
22.4	44.97
22.5	44.78
22.6	44.63
22.7	44.5
22.8	44.34
22.9	44.15
23	43.95
23.1	43.75
23.2	43.57
23.3	43.39
23.4	43.19
23.5	42.96
23.6	42.73
23.7	42.55
23.8	42.42
23.9	42.29
24	42.15
24.1	41.97
24.2	41.75
24.3	41.52
24.4	41.32
24.5	41.21
24.6	41.12
24.7	40.98
24.8	40.82
24.9	40.65
25	40.45
25.1	40.2
25.2	39.97
25.3	39.8
25.4	39.62
25.5	39.41
25.6	39.23
25.7	39.06
25.8	38.87
25.9	38.69
26	38.56
26.1	38.45
26.2	38.33
26.3	38.17
26.4	37.95
26.5	37.73
26.6	37.52
26.7	37.34
26.8	37.16
26.9	37
27	36.83
27.1	36.67
27.2	36.52
27.3	36.37
27.4	36.22
27.5	36.05
27.6	35.88
27.7	35.71
27.8	35.55
27.9	35.38
28	35.19
28.1	34.99
28.2	34.79
28.3	34.59
28.4	34.39
28.5	34.23
28.6	34.1
28.7	33.98
28.8	33.83
28.9	33.67
29	33.51
29.1	33.37
29.2	33.26
29.3	33.18
29.4	33.08
29.5	32.93
29.6	32.78
29.7	32.62
29.8	32.45
29.9	32.28
30	32.17
30.1	32.08
30.2	31.95
30.3	31.8
30.4	31.68
30.5	31.57
30.6	31.45
30.7	31.31
30.8	31.21
30.9	31.12
